Tabela 1.3.1.1 -  Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e os grupos de idade - 2015;;;;;;;Tabela 1.3.1.2 - Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e os grupos de idade - 2015;;;;;;;Tabela 1.3.1.3 - Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo e os grupos de idade - 2015

Sexo e grupos de idade;Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (1000 pessoas);;;;;;Sexo e grupos de idade;Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (%);;;;;;Sexo e grupos de idade;Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade (%)
;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões
;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
Total;  139 057;  9 971;  33 690;  62 455;  21 350;  11 590;Total;100,0;100,0;100,0;100,0;100,0;100,0;Total;78,3;68,6;69,6;82,6;82,8;86,9
10 a 14 anos;  8 586;   617;  2 197;  3 771;  1 226;   774;10 a 14 anos;6,2;6,2;6,5;6,0;5,7;6,7;10 a 14 anos;54,1;36,5;43,6;63,6;61,5;63,8
15 a 17 anos;  8 612;   708;  2 353;  3 601;  1 253;   699;15 a 17 anos;6,2;7,1;7,0;5,8;5,9;6,0;15 a 17 anos;81,0;65,0;72,4;87,5;89,2;89,8
18 ou 19 anos;  5 953;   486;  1 645;  2 533;   816;   474;18 ou 19 anos;4,3;4,9;4,9;4,1;3,8;4,1;18 ou 19 anos;87,0;75,2;80,5;91,6;92,6;93,7
20 a 24 anos;  13 970;  1 164;  3 669;  5 942;  2 034;  1 160;20 a 24 anos;10,0;11,7;10,9;9,5;9,5;10,0;20 a 24 anos;89,6;79,0;83,3;94,0;93,9;94,5
25 a 29 anos;  13 710;  1 124;  3 579;  5 894;  1 965;  1 148;25 a 29 anos;9,9;11,3;10,6;9,4;9,2;9,9;25 a 29 anos;89,8;80,6;82,8;93,9;94,7;95,2
30 a 34 anos;  14 547;  1 130;  3 656;  6 420;  2 124;  1 217;30 a 34 anos;10,5;11,3;10,9;10,3;9,9;10,5;30 a 34 anos;89,4;80,0;82,2;93,6;93,6;94,3
35 a 39 anos;  13 851;  1 054;  3 390;  6 228;  1 973;  1 207;35 a 39 anos;10,0;10,6;10,1;10,0;9,2;10,4;35 a 39 anos;87,9;78,3;79,4;92,7;92,2;94,0
40 a 44 anos;  12 565;   885;  2 906;  5 800;  1 897;  1 076;40 a 44 anos;9,0;8,9;8,6;9,3;8,9;9,3;40 a 44 anos;86,4;77,2;77,2;91,1;90,4;93,0
45 a 49 anos;  11 461;   752;  2 650;  5 224;  1 836;   999;45 a 49 anos;8,2;7,5;7,9;8,4;8,6;8,6;45 a 49 anos;84,2;76,0;75,4;88,2;87,8;91,8
50 a 54 anos;  10 671;   656;  2 301;  5 046;  1 816;   851;50 a 54 anos;7,7;6,6;6,8;8,1;8,5;7,3;50 a 54 anos;82,2;74,2;72,6;86,1;85,0;91,2
55 a 59 anos;  8 502;   480;  1 786;  4 054;  1 514;   669;55 a 59 anos;6,1;4,8;5,3;6,5;7,1;5,8;55 a 59 anos;78,0;69,1;68,7;81,2;82,2;86,6
60 anos ou mais;  16 628;   915;  3 558;  7 942;  2 895;  1 317;60 anos ou mais;12,0;9,2;10,6;12,7;13,6;11,4;60 anos ou mais;56,6;51,7;46,9;59,0;61,9;69,9
Homens;  66 382;  4 839;  15 596;  29 886;  10 436;  5 625;Homens;100,0;100,0;100,0;100,0;100,0;100,0;Homens;77,6;66,5;67,3;82,9;83,5;86,7
10 a 14 anos;  4 084;   289;  1 053;  1 783;   573;   386;10 a 14 anos;6,2;6,0;6,8;6,0;5,5;6,9;10 a 14 anos;50,4;33,2;40,3;59,6;57,1;61,5
15 a 17 anos;  4 234;   353;  1 131;  1 742;   650;   358;15 a 17 anos;6,4;7,3;7,3;5,8;6,2;6,4;15 a 17 anos;78,1;62,7;67,9;85,0;87,2;89,3
18 ou 19 anos;  2 971;   239;   799;  1 270;   409;   253;18 ou 19 anos;4,5;4,9;5,1;4,3;3,9;4,5;18 ou 19 anos;85,2;72,3;77,6;89,9;92,6;93,2
20 a 24 anos;  6 998;   585;  1 790;  3 002;  1 033;   588;20 a 24 anos;10,5;12,1;11,5;10,0;9,9;10,5;20 a 24 anos;88,0;76,4;81,3;92,4;92,8;94,1
25 a 29 anos;  6 677;   537;  1 711;  2 904;   981;   545;25 a 29 anos;10,1;11,1;11,0;9,7;9,4;9,7;25 a 29 anos;88,7;79,6;81,0;93,1;93,9;94,6
30 a 34 anos;  6 951;   549;  1 712;  3 047;  1 061;   584;30 a 34 anos;10,5;11,3;11,0;10,2;10,2;10,4;30 a 34 anos;88,0;78,3;79,5;92,8;93,2;93,5
35 a 39 anos;  6 574;   500;  1 548;  2 973;   975;   578;35 a 39 anos;9,9;10,3;9,9;9,9;9,3;10,3;35 a 39 anos;86,9;76,7;76,7;92,2;93,0;93,6
40 a 44 anos;  5 979;   428;  1 325;  2 788;   926;   512;40 a 44 anos;9,0;8,8;8,5;9,3;8,9;9,1;40 a 44 anos;85,6;75,3;75,3;90,5;90,6;93,0
45 a 49 anos;  5 414;   369;  1 207;  2 488;   877;   474;45 a 49 anos;8,2;7,6;7,7;8,3;8,4;8,4;45 a 49 anos;83,4;74,0;72,4;88,4;88,4;90,9
50 a 54 anos;  4 935;   302;  1 022;  2 351;   864;   395;50 a 54 anos;7,4;6,2;6,6;7,9;8,3;7,0;50 a 54 anos;81,3;70,4;70,4;85,4;86,0;90,8
55 a 59 anos;  3 934;   239;   788;  1 873;   717;   317;55 a 59 anos;5,9;4,9;5,1;6,3;6,9;5,6;55 a 59 anos;78,1;67,7;66,2;82,7;82,6;87,7
60 anos ou mais;  7 631;   451;  1 511;  3 664;  1 370;   636;60 anos ou mais;11,5;9,3;9,7;12,3;13,1;11,3;60 anos ou mais;59,0;51,4;45,5;63,2;65,9;72,6
Mulheres;  72 674;  5 132;  18 094;  32 569;  10 915;  5 964;Mulheres;100,0;100,0;100,0;100,0;100,0;100,0;Mulheres;78,9;70,7;71,7;82,3;82,3;87,0
10 a 14 anos;  4 502;   329;  1 144;  1 987;   653;   388;10 a 14 anos;6,2;6,4;6,3;6,1;6,0;6,5;10 a 14 anos;58,0;40,0;47,1;67,7;66,0;66,4
15 a 17 anos;  4 379;   355;  1 222;  1 859;   603;   341;15 a 17 anos;6,0;6,9;6,8;5,7;5,5;5,7;15 a 17 anos;84,0;67,5;77,0;89,9;91,5;90,3
18 ou 19 anos;  2 982;   246;   845;  1 262;   408;   220;18 ou 19 anos;4,1;4,8;4,7;3,9;3,7;3,7;18 ou 19 anos;88,9;78,3;83,4;93,3;92,7;94,2
