Tabela 1.3.3.1 - Pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo a situação do domicílio, o sexo e a posse de telefone móvel celular para uso pessoal - 2015;;;;;;;Tabela 1.3.3.2 - Distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo a situação do domicílio, o sexo e a posse de telefone móvel celular para uso pessoal - 2015

Situação do domicílio,sexo e posse de telefone móvel celular para uso pessoal;Pessoas de 10 anos ou mais de idade (1000 pessoas);;;;;;Situação do domicílio,sexo e posse de telefone móvel celular para uso pessoal;Distribuição das pessoas de 10 anos ou mais de idade (%)
;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões
;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
Total;  177 657;  14 537;  48 410;  75 599;  25 772;  13 340;Total;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  139 057;  9 971;  33 690;  62 455;  21 350;  11 590;Possuíam;78,3;68,6;69,6;82,6;82,8;86,9
Não possuíam;  38 600;  4 566;  14 720;  13 144;  4 421;  1 750;Não possuíam;21,7;31,4;30,4;17,4;17,2;13,1
Homens;  85 489;  7 281;  23 182;  36 038;  12 502;  6 487;Homens;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  66 382;  4 839;  15 596;  29 886;  10 436;  5 625;Possuíam;77,6;66,5;67,3;82,9;83,5;86,7
Não possuíam;  19 107;  2 441;  7 585;  6 152;  2 066;   862;Não possuíam;22,4;33,5;32,7;17,1;16,5;13,3
Mulheres;  92 167;  7 256;  25 228;  39 561;  13 270;  6 852;Mulheres;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  72 674;  5 132;  18 094;  32 569;  10 915;  5 964;Possuíam;78,9;70,7;71,7;82,3;82,3;87,0
Não possuíam;  19 493;  2 124;  7 134;  6 991;  2 355;   888;Não possuíam;21,1;29,3;28,3;17,7;17,7;13,0
Urbana;  150 985;  10 985;  35 540;  70 444;  22 018;  11 998;Urbana;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  124 971;  8 584;  27 767;  59 179;  18 829;  10 613;Possuíam;82,8;78,1;78,1;84,0;85,5;88,5
Não possuíam;  26 014;  2 401;  7 773;  11 265;  3 190;  1 385;Não possuíam;17,2;21,9;21,9;16,0;14,5;11,5
Homens;  71 514;  5 360;  16 539;  33 330;  10 522;  5 763;Homens;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  59 094;  4 108;  12 725;  28 132;  9 042;  5 087;Possuíam;82,6;76,6;76,9;84,4;85,9;88,3
Não possuíam;  12 419;  1 252;  3 813;  5 198;  1 480;   675;Não possuíam;17,4;23,4;23,1;15,6;14,1;11,7
Mulheres;  79 472;  5 624;  19 001;  37 114;  11 496;  6 236;Mulheres;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  65 877;  4 476;  15 041;  31 048;  9 786;  5 525;Possuíam;82,9;79,6;79,2;83,7;85,1;88,6
Não possuíam;  13 595;  1 148;  3 960;  6 066;  1 710;   710;Não possuíam;17,1;20,4;20,8;16,3;14,9;11,4
Rural;  26 671;  3 552;  12 870;  5 154;  3 753;  1 341;Rural;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  14 085;  1 388;  5 923;  3 276;  2 522;   977;Possuíam;52,8;39,1;46,0;63,6;67,2;72,8
Não possuíam;  12 586;  2 165;  6 946;  1 879;  1 232;   365;Não possuíam;47,2;60,9;54,0;36,4;32,8;27,2
Homens;  13 975;  1 920;  6 643;  2 708;  1 980;   725;Homens;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  7 288;   731;  2 871;  1 754;  1 394;   538;Possuíam;52,1;38,1;43,2;64,8;70,4;74,2
Não possuíam;  6 688;  1 189;  3 772;   954;   586;   187;Não possuíam;47,9;61,9;56,8;35,2;29,6;25,8
Mulheres;  12 696;  1 632;  6 227;  2 446;  1 774;   617;Mulheres;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  6 798;   656;  3 053;  1 522;  1 128;   439;Possuíam;53,5;40,2;49,0;62,2;63,6;71,2
Não possuíam;  5 898;   976;  3 174;   925;   646;   178;Não possuíam;46,5;59,8;51,0;37,8;36,4;28,8

Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;;;;;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.
