Tabela 1.3.4.1 - Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015;;;;;;;Tabela 1.3.4.2 - Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015;;;;;;;Tabela 1.3.4.3 - Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015

Sexo e grupos de anos de estudo;Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (1000 pessoas);;;;;;Sexo e grupos de anos de estudo;Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (%);;;;;;Sexo e grupos de anos de estudo;Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade (%)
;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões
;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
Total;  139 057;  9 971;  33 690;  62 455;  21 350;  11 590;Total;100,0;100,0;100,0;100,0;100,0;100,0;Total;78,3;68,6;69,6;82,6;82,8;86,9
Sem instrução e menos de 1 ano;  6 100;   496;  2 425;  1 886;   729;   563;Sem instrução e menos de 1 ano;4,4;5,0;7,2;3,0;3,4;4,9;Sem instrução e menos de 1 ano;40,5;36,8;35,1;43,3;48,9;58,1
1 a 3 anos;  9 228;   756;  3 000;  3 395;  1 299;   778;1 a 3 anos;6,6;7,6;8,9;5,4;6,1;6,7;1 a 3 anos;51,2;39,9;45,8;56,0;56,5;65,1
4 a 7 anos;  31 116;  2 200;  8 049;  13 126;  5 138;  2 602;4 a 7 anos;22,4;22,1;23,9;21,0;24,1;22,5;4 a 7 anos;70,8;58,3;65,4;73,6;75,1;81,6
8 a 10 anos;  26 390;  2 062;  6 169;  11 801;  4 205;  2 152;8 a 10 anos;19,0;20,7;18,3;18,9;19,7;18,6;8 a 10 anos;86,2;78,0;81,8;88,1;89,7;92,2
11 a 14 anos;  48 893;  3 497;  11 122;  23 406;  7 034;  3 835;11 a 14 anos;35,2;35,1;33,0;37,5;32,9;33,1;11 a 14 anos;93,8;90,5;92,3;94,4;94,8;96,7
15 anos ou mais;  17 168;   942;  2 873;  8 805;  2 902;  1 646;15 anos ou mais;12,3;9,4;8,5;14,1;13,6;14,2;15 anos ou mais;97,0;96,1;96,7;96,9;97,3;98,6
Não determinados;   163;   17;   52;   37;   44;   13;Não determinados;0,1;0,2;0,2;0,1;0,2;0,1;Não determinados;75,5;54,0;66,9;86,9;90,0;87,0
Homens;  66 382;  4 839;  15 596;  29 886;  10 436;  5 625;Homens;100,0;100,0;100,0;100,0;100,0;100,0;Homens;77,6;66,5;67,3;82,9;83,5;86,7
Sem instrução e menos de 1 ano;  3 021;   263;  1 233;   900;   341;   283;Sem instrução e menos de 1 ano;4,6;5,4;7,9;3,0;3,3;5,0;Sem instrução e menos de 1 ano;40,8;36,1;34,0;46,7;52,3;59,8
