Tabela 1.3.5.1 - Pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015;;;;;;;Tabela 1.3.5.2 - Distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e os grupos de anos de estudo - 2015

Sexo e grupos de anos de estudo;Pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal (1000 pessoas);;;;;;Sexo e grupos de anos de estudo;Distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal (%)
;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões
;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
Total;  38 600;  4 566;  14 720;  13 144;  4 421;  1 750;Total;100,0;100,0;100,0;100,0;100,0;100,0
Sem instrução e menos de 1 ano;  8 973;   853;  4 482;  2 471;   761;   406;Sem instrução e menos de 1 ano;23,2;18,7;30,4;18,8;17,2;23,2
1 a 3 anos;  8 781;  1 141;  3 556;  2 667;  1 000;   417;1 a 3 anos;22,7;25,0;24,2;20,3;22,6;23,8
4 a 7 anos;  12 829;  1 572;  4 256;  4 713;  1 702;   586;4 a 7 anos;33,2;34,4;28,9;35,9;38,5;33,5
8 a 10 anos;  4 218;   581;  1 373;  1 599;   482;   182;8 a 10 anos;10,9;12,7;9,3;12,2;10,9;10,4
11 a 14 anos;  3 220;   367;   930;  1 401;   389;   133;11 a 14 anos;8,3;8,0;6,3;10,7;8,8;7,6
15 anos ou mais;   527;   38;   97;   286;   82;   24;15 anos ou mais;1,4;0,8;0,7;2,2;1,8;1,4
Não determinados;   53;   15;   26;   6;   5;   2;Não determinados;0,1;0,3;0,2;-;0,1;0,1
Homens;  19 107;  2 441;  7 585;  6 152;  2 066;   862;Homens;100,0;100,0;100,0;100,0;100,0;100,0
Sem instrução e menos de 1 ano;  4 391;   466;  2 396;  1 027;   312;   191;Sem instrução e menos de 1 ano;23,0;19,1;31,6;16,7;15,1;22,1
1 a 3 anos;  4 591;   657;  1 910;  1 329;   475;   220;1 a 3 anos;24,0;26,9;25,2;21,6;23,0;25,5
4 a 7 anos;  6 411;   828;  2 207;  2 260;   818;   298;4 a 7 anos;33,6;33,9;29,1;36,7;39,6;34,6
8 a 10 anos;  2 060;   298;   660;   763;   249;   91;8 a 10 anos;10,8;12,2;8,7;12,4;12,0;10,5
11 a 14 anos;  1 417;   170;   364;   648;   180;   54;11 a 14 anos;7,4;7,0;4,8;10,5;8,7;6,3
15 anos ou mais;   213;   16;   34;   124;   31;   8;15 anos ou mais;1,1;0,6;0,5;2,0;1,5;0,9
Não determinados;   24;   7;   14;   1;   1;   0;Não determinados;0,1;0,3;0,2;-;0,1;0,1
Mulheres;  19 493;  2 124;  7 134;  6 991;  2 355;   888;Mulheres;100,0;100,0;100,0;100,0;100,0;100,0
Sem instrução e menos de 1 ano;  4 582;   387;  2 086;  1 444;   449;   215;Sem instrução e menos de 1 ano;23,5;18,2;29,2;20,7;19,1;24,2
1 a 3 anos;  4 190;   484;  1 646;  1 338;   525;   197;1 a 3 anos;21,5;22,8;23,1;19,1;22,3;22,2
4 a 7 anos;  6 418;   744;  2 048;  2 453;   885;   288;4 a 7 anos;32,9;35,0;28,7;35,1;37,6;32,4
8 a 10 anos;  2 158;   283;   713;   836;   234;   92;8 a 10 anos;11,1;13,3;10,0;12,0;9,9;10,3
11 a 14 anos;  1 803;   196;   566;   753;   209;   78;11 a 14 anos;9,2;9,2;7,9;10,8;8,9;8,8
15 anos ou mais;   314;   22;   63;   162;   50;   16;15 anos ou mais;1,6;1,1;0,9;2,3;2,1;1,8
Não determinados;   29;   8;   12;   4;   3;   2;Não determinados;0,1;0,4;0,2;0,1;0,1;0,2

Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;;;;;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.
