Tabela 1.3.6.1 - Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e o nível de instrução - 2015;;;;;;;Tabela 1.3.6.2 - Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e o nível de instrução - 2015;;;;;;;Tabela 1.3.6.3 - Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo e o nível de instrução - 2015

Sexo e nível de instrução;Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (1000 pessoas);;;;;;Sexo e nível de instrução;Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (%);;;;;;Sexo e nível de instrução;Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade (%)
;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões
;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
Total;  139 057;  9 971;  33 690;  62 455;  21 350;  11 590;Total;100,0;100,0;100,0;100,0;100,0;100,0;Total;78,3;68,6;69,6;82,6;82,8;86,9
Sem instrução;  6 100;   496;  2 425;  1 886;   729;   563;Sem instrução;4,4;5,0;7,2;3,0;3,4;4,9;Sem instrução;40,5;36,8;35,1;43,3;48,9;58,1
Fundamental incompleto;  40 406;  2 961;  11 066;  16 547;  6 446;  3 386;Fundamental incompleto;29,1;29,7;32,8;26,5;30,2;29,2;Fundamental incompleto;65,1;52,2;58,6;69,1;70,4;77,1
Fundamental completo;  14 858;  1 062;  3 207;  6 891;  2 527;  1 171;Fundamental completo;10,7;10,7;9,5;11,0;11,8;10,1;Fundamental completo;84,3;76,6;79,7;85,7;87,4;91,0
Médio incompleto;  11 256;   972;  2 888;  4 828;  1 609;   959;Médio incompleto;8,1;9,8;8,6;7,7;7,5;8,3;Médio incompleto;88,9;79,7;84,1;91,7;93,5;93,7
Médio completo;  40 388;  2 929;  9 479;  19 359;  5 605;  3 016;Médio completo;29,0;29,4;28,1;31,0;26,3;26,0;Médio completo;93,0;89,4;91,5;93,7;94,0;96,1
Superior incompleto;  7 980;   587;  1 692;  3 560;  1 351;   790;Superior incompleto;5,7;5,9;5,0;5,7;6,3;6,8;Superior incompleto;97,6;96,4;96,9;97,8;97,7;98,7
Superior completo;  17 692;   923;  2 823;  9 291;  2 980;  1 675;Superior completo;12,7;9,3;8,4;14,9;14,0;14,5;Superior completo;97,1;96,3;96,8;96,9;97,4;98,7
Não determinado;   377;   40;   110;   93;   104;   29;Não determinado;0,3;0,4;0,3;0,1;0,5;0,3;Não determinado;85,1;66,9;79,8;92,8;92,5;91,4
Homens;  66 382;  4 839;  15 596;  29 886;  10 436;  5 625;Homens;100,0;100,0;100,0;100,0;100,0;100,0;Homens;77,6;66,5;67,3;82,9;83,5;86,7
Sem instrução;  3 021;   263;  1 233;   900;   341;   283;Sem instrução;4,6;5,4;7,9;3,0;3,3;5,0;Sem instrução;40,8;36,1;34,0;46,7;52,3;59,8
Fundamental incompleto;  20 437;  1 562;  5 546;  8 263;  3 280;  1 786;Fundamental incompleto;30,8;32,3;35,6;27,6;31,4;31,7;Fundamental incompleto;65,0;51,2;57,4;69,7;71,7;77,5
Fundamental completo;  7 566;   544;  1 576;  3 479;  1 339;   628;Fundamental completo;11,4;11,2;10,1;11,6;12,8;11,2;Fundamental completo;85,1;76,0;80,3;87,0;87,7;91,7
Médio incompleto;  5 514;   469;  1 360;  2 387;   811;   488;Médio incompleto;8,3;9,7;8,7;8,0;7,8;8,7;Médio incompleto;88,5;79,2;83,5;91,0;93,4;93,6
Médio completo;  18 778;  1 366;  4 155;  9 099;  2 758;  1 400;Médio completo;28,3;28,2;26,6;30,4;26,4;24,9;Médio completo;93,4;89,4;92,2;93,7;94,4;96,4
Superior incompleto;  3 651;   257;   682;  1 737;   646;   328;Superior incompleto;5,5;5,3;4,4;5,8;6,2;5,8;Superior incompleto;97,7;96,3;97,4;97,8;97,5;99,1
Superior completo;  7 238;   359;   991;  3 976;  1 211;   701;Superior completo;10,9;7,4;6,4;13,3;11,6;12,5;Superior completo;97,2;96,1;97,1;97,0;97,5;98,9
Não determinado;   178;   19;   54;   45;   50;   10;Não determinado;0,3;0,4;0,3;0,1;0,5;0,2;Não determinado;86,1;68,9;79,1;96,4;93,0;95,8
Mulheres;  72 674;  5 132;  18 094;  32 569;  10 915;  5 964;Mulheres;100,0;100,0;100,0;100,0;100,0;100,0;Mulheres;78,9;70,7;71,7;82,3;82,3;87,0
Sem instrução;  3 079;   233;  1 192;   985;   388;   280;Sem instrução;4,2;4,5;6,6;3,0;3,6;4,7;Sem instrução;40,2;37,6;36,4;40,5;46,3;56,5
Fundamental incompleto;  19 969;  1 399;  5 519;  8 284;  3 166;  1 600;Fundamental incompleto;27,5;27,3;30,5;25,4;29,0;26,8;Fundamental incompleto;65,3;53,2;59,9;68,6;69,2;76,7
Fundamental completo;  7 292;   518;  1 631;  3 413;  1 187;   542;Fundamental completo;10,0;10,1;9,0;10,5;10,9;9,1;Fundamental completo;83,5;77,3;79,2;84,5;87,2;90,2
Médio incompleto;  5 742;   503;  1 529;  2 441;   797;   471;Médio incompleto;7,9;9,8;8,4;7,5;7,3;7,9;Médio incompleto;89,2;80,1;84,6;92,3;93,5;93,8
Médio completo;  21 610;  1 563;  5 324;  10 261;  2 847;  1 616;Médio completo;29,7;30,4;29,4;31,5;26,1;27,1;Médio completo;92,8;89,4;90,9;93,6;93,6;95,7
Superior incompleto;  4 329;   330;  1 010;  1 823;   705;   461;Superior incompleto;6,0;6,4;5,6;5,6;6,5;7,7;Superior incompleto;97,5;96,4;96,6;97,9;97,8;98,4
Superior completo;  10 454;   564;  1 832;  5 315;  1 769;   974;Superior completo;14,4;11,0;10,1;16,3;16,2;16,3;Superior completo;97,0;96,4;96,7;96,8;97,2;98,5
Não determinado;   199;   21;   56;   49;   54;   19;Não determinado;0,3;0,4;0,3;0,1;0,5;0,3;Não determinado;84,2;65,2;80,5;89,7;92,1;89,2

Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;;;;;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;;;;;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.
