Tabela 1.3.8.1 - Pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a condição de estudante, a rede de ensino que frequentavam e a posse de telefone móvel celular para uso pessoal - 2015;;;;;;;Tabela 1.3.8.2 - Distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a condição de estudante, a rede de ensino que frequentavam e a posse de telefone móvel celular para uso pessoal - 2015

Sexo, condição de estudante, rede de ensino que frequentavam e posse de telefone móvel celular para uso pessoal;Pessoas de 10 anos ou mais de idade (1000 pessoas);;;;;;Sexo, condição de estudante, rede de ensino que frequentavam e posse de telefone móvel celular para uso pessoal;Distribuição das pessoas de 10 anos ou mais de idade (%)
;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões
;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
Total;  177 657;  14 537;  48 410;  75 599;  25 772;  13 340;Total;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  139 057;  9 971;  33 690;  62 455;  21 350;  11 590;Possuíam;78,3;68,6;69,6;82,6;82,8;86,9
Não possuíam;  38 600;  4 566;  14 720;  13 144;  4 421;  1 750;Não possuíam;21,7;31,4;30,4;17,4;17,2;13,1
Estudantes;  36 308;  3 758;  10 812;  14 038;  4 781;  2 918;Estudantes;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  26 858;  2 233;  7 022;  11 331;  3 871;  2 400;Possuíam;74,0;59,4;65,0;80,7;81,0;82,2
Não possuíam;  9 450;  1 525;  3 789;  2 707;   910;   518;Não possuíam;26,0;40,6;35,0;19,3;19,0;17,8
Rede pública;  27 031;  3 137;  8 533;  9 910;  3 409;  2 042;Rede pública;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  18 164;  1 662;  4 971;  7 424;  2 547;  1 560;Possuíam;67,2;53,0;58,3;74,9;74,7;76,4
Não possuíam;  8 867;  1 475;  3 562;  2 486;   862;   482;Não possuíam;32,8;47,0;41,7;25,1;25,3;23,6
Rede privada;  9 277;   621;  2 279;  4 128;  1 372;   877;Rede privada;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  8 693;   570;  2 052;  3 907;  1 324;   841;Possuíam;93,7;91,8;90,0;94,6;96,5;95,9
Não possuíam;   583;   51;   227;   221;   49;   36;Não possuíam;6,3;8,2;10,0;5,4;3,5;4,1
Não estudantes;  141 349;  10 779;  37 598;  61 561;  20 991;  10 421;Não estudantes;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  112 199;  7 739;  26 668;  51 124;  17 480;  9 189;Possuíam;79,4;71,8;70,9;83,0;83,3;88,2
Não possuíam;  29 150;  3 040;  10 930;  10 437;  3 511;  1 232;Não possuíam;20,6;28,2;29,1;17,0;16,7;11,8
Homens;  85 489;  7 281;  23 182;  36 038;  12 502;  6 487;Homens;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  66 382;  4 839;  15 596;  29 886;  10 436;  5 625;Possuíam;77,6;66,5;67,3;82,9;83,5;86,7
Não possuíam;  19 107;  2 441;  7 585;  6 152;  2 066;   862;Não possuíam;22,4;33,5;32,7;17,1;16,5;13,3
