Tabela 1.3.9.1 - Pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a condição de atividade na semana de referência e a posse de telefone móvel celular para uso pessoal - 2015;;;;;;;Tabela 1.3.9.2 - Distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a condição de atividade na semana de referência e a posse de telefone móvel celular para uso pessoal - 2015

Sexo, condição de atividade na semana de referência e posse de telefone móvel celular para uso pessoal;Pessoas de 10 anos ou mais de idade (1000 pessoas);;;;;;Sexo, condição de atividade na semana de referência e posse de telefone móvel celular para uso pessoal;Distribuição das pessoas de 10 anos ou mais de idade (%)
;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões
;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
Total;  177 657;  14 537;  48 410;  75 599;  25 772;  13 340;Total;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  139 057;  9 971;  33 690;  62 455;  21 350;  11 590;Possuíam;78,3;68,6;69,6;82,6;82,8;86,9
Não possuíam;  38 600;  4 566;  14 720;  13 144;  4 421;  1 750;Não possuíam;21,7;31,4;30,4;17,4;17,2;13,1
Economicamente ativas;  105 519;  8 287;  26 841;  46 008;  16 100;  8 283;Economicamente ativas;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  92 253;  6 400;  21 274;  42 147;  14 654;  7 777;Possuíam;87,4;77,2;79,3;91,6;91,0;93,9
Não possuíam;  13 266;  1 887;  5 566;  3 861;  1 446;   506;Não possuíam;12,6;22,8;20,7;8,4;9,0;6,1
Não economicamente ativas;  72 137;  6 250;  21 569;  29 590;  9 672;  5 057;Não economicamente ativas;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  46 803;  3 571;  12 416;  20 308;  6 696;  3 812;Possuíam;64,9;57,1;57,6;68,6;69,2;75,4
Não possuíam;  25 334;  2 679;  9 153;  9 283;  2 976;  1 244;Não possuíam;35,1;42,9;42,4;31,4;30,8;24,6
Homens;  85 489;  7 281;  23 182;  36 038;  12 502;  6 487;Homens;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  66 382;  4 839;  15 596;  29 886;  10 436;  5 625;Possuíam;77,6;66,5;67,3;82,9;83,5;86,7
Não possuíam;  19 107;  2 441;  7 585;  6 152;  2 066;   862;Não possuíam;22,4;33,5;32,7;17,1;16,5;13,3
Economicamente ativos;  59 416;  5 016;  15 398;  25 391;  8 937;  4 674;Economicamente ativos;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  50 701;  3 700;  11 630;  22 952;  8 073;  4 346;Possuíam;85,3;73,8;75,5;90,4;90,3;93,0
Não possuíam;  8 715;  1 315;  3 769;  2 439;   865;   328;Não possuíam;14,7;26,2;24,5;9,6;9,7;7,0
Não economicamente ativos;  26 073;  2 265;  7 783;  10 647;  3 565;  1 813;Não economicamente ativos;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  15 681;  1 139;  3 967;  6 933;  2 363;  1 279;Possuíam;60,1;50,3;51,0;65,1;66,3;70,5
Não possuíam;  10 392;  1 126;  3 817;  3 713;  1 201;   534;Não possuíam;39,9;49,7;49,0;34,9;33,7;29,5
Mulheres;  92 167;  7 256;  25 228;  39 561;  13 270;  6 852;Mulheres;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  72 674;  5 132;  18 094;  32 569;  10 915;  5 964;Possuíam;78,9;70,7;71,7;82,3;82,3;87,0
Não possuíam;  19 493;  2 124;  7 134;  6 991;  2 355;   888;Não possuíam;21,1;29,3;28,3;17,7;17,7;13,0
Economicamente ativas;  46 103;  3 272;  11 443;  20 617;  7 163;  3 609;Economicamente ativas;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  41 552;  2 700;  9 645;  19 195;  6 582;  3 431;Possuíam;90,1;82,5;84,3;93,1;91,9;95,1
Não possuíam;  4 551;   572;  1 798;  1 422;   581;   178;Não possuíam;9,9;17,5;15,7;6,9;8,1;4,9
Não economicamente ativas;  46 064;  3 985;  13 786;  18 944;  6 107;  3 243;Não economicamente ativas;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  31 122;  2 432;  8 449;  13 374;  4 333;  2 533;Possuíam;67,6;61,0;61,3;70,6;70,9;78,1
Não possuíam;  14 942;  1 552;  5 337;  5 569;  1 774;   710;Não possuíam;32,4;39,0;38,7;29,4;29,1;21,9

Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;;;;;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.
