Tabela 1.3.11.1 - Estudantes de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a situação de ocupação na semana de referência e a posse de telefone móvel celular para uso pessoal - 2015;;;;;;;Tabela 1.3.11.2 - Distribuição dos estudantes de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a situação de ocupação na semana de referência e a posse de telefone móvel celular para uso pessoal - 2015

Sexo, situação de ocupação na semana de referência e posse de telefone móvel celular para uso pessoal;Estudantes de 10 anos ou mais de idade (1000 pessoas);;;;;;Sexo, situação de ocupação na semana de referência e posse de telefone móvel celular para uso pessoal;Distribuição dos estudantes de 10 anos ou mais de idade (%)
;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões
;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
Total;  36 308;  3 758;  10 812;  14 038;  4 781;  2 918;Total;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  28 964;  2 336;  7 441;  12 419;  4 217;  2 551;Possuíam;79,8;62,2;68,8;88,5;88,2;87,4
Não possuíam;  7 344;  1 421;  3 371;  1 619;   564;   368;Não possuíam;20,2;37,8;31,2;11,5;11,8;12,6
Ocupadas;  8 409;   831;  2 240;  3 199;  1 360;   778;Ocupadas;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  7 350;   592;  1 721;  3 023;  1 289;   725;Possuíam;87,4;71,3;76,8;94,5;94,7;93,2
Não possuíam;  1 058;   239;   519;   176;   72;   53;Não possuíam;12,6;28,7;23,2;5,5;5,3;6,8
Não ocupadas;  27 899;  2 927;  8 572;  10 839;  3 421;  2 141;Não ocupadas;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  21 613;  1 744;  5 720;  9 395;  2 929;  1 826;Possuíam;77,5;59,6;66,7;86,7;85,6;85,3
Não possuíam;  6 286;  1 183;  2 852;  1 443;   492;   315;Não possuíam;22,5;40,4;33,3;13,3;14,4;14,7
Homens;  17 814;  1 863;  5 330;  6 838;  2 365;  1 418;Homens;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  13 924;  1 109;  3 527;  5 988;  2 065;  1 234;Possuíam;78,2;59,5;66,2;87,6;87,3;87,0
Não possuíam;  3 891;   754;  1 802;   850;   300;   185;Não possuíam;21,8;40,5;33,8;12,4;12,7;13,0
Ocupados;  4 444;   484;  1 209;  1 663;   695;   392;Ocupados;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  3 744;   321;   846;  1 561;   651;   366;Possuíam;84,3;66,3;70,0;93,9;93,6;93,3
Não possuíam;   699;   163;   363;   102;   45;   26;Não possuíam;15,7;33,7;30,0;6,1;6,4;6,7
Não ocupados;  13 371;  1 379;  4 121;  5 176;  1 669;  1 026;Não ocupados;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  10 179;   788;  2 681;  4 428;  1 414;   868;Possuíam;76,1;57,1;65,1;85,5;84,7;84,6
Não possuíam;  3 191;   591;  1 439;   748;   255;   158;Não possuíam;23,9;42,9;34,9;14,5;15,3;15,4
Mulheres;  18 493;  1 894;  5 482;  7 200;  2 417;  1 500;Mulheres;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  15 040;  1 227;  3 913;  6 431;  2 152;  1 317;Possuíam;81,3;64,8;71,4;89,3;89,1;87,8
Não possuíam;  3 453;   667;  1 569;   769;   264;   183;Não possuíam;18,7;35,2;28,6;10,7;10,9;12,2
Ocupadas;  3 965;   347;  1 031;  1 537;   665;   386;Ocupadas;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  3 606;   271;   875;  1 463;   638;   359;Possuíam;90,9;78,2;84,9;95,2;96,0;93,1
Não possuíam;   359;   76;   156;   74;   27;   27;Não possuíam;9,1;21,8;15,1;4,8;4,0;6,9
Não ocupadas;  14 528;  1 547;  4 452;  5 663;  1 752;  1 115;Não ocupadas;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  11 434;   956;  3 038;  4 968;  1 514;   958;Possuíam;78,7;61,8;68,3;87,7;86,4;85,9
Não possuíam;  3 094;   592;  1 413;   695;   237;   157;Não possuíam;21,3;38,2;31,7;12,3;13,6;14,1

Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;;;;;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.
