Tabela 1.3.12.1 - Pessoas de 10 anos ou mais de idade que não eram estudantes, por Grandes Regiões, segundo o sexo, a situação de ocupação na semana de referência e a posse de telefone móvel celular para uso pessoal - 2015;;;;;;;Tabela 1.3.12.2 - Distribuição das pessoas de 10 anos ou mais de idade que não eram estudantes, por Grandes Regiões, segundo o sexo, a situação de ocupação na semana de referência e a posse de telefone móvel celular para uso pessoal - 2015

Sexo, situação de ocupação na semana de referência e posse de telefone móvel celular para uso pessoal;Pessoas de 10 anos ou mais de idade que não eram estudantes (1000 pessoas);;;;;;Sexo, situação de ocupação na semana de referência e posse de telefone móvel celular para uso pessoal;Distribuição das pessoas de 10 anos ou mais de idade que não eram estudantes (%)
;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões
;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
Total;  141 349;  10 779;  37 598;  61 561;  20 991;  10 421;Total;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  73 119;  4 379;  14 390;  36 828;  11 542;  5 980;Possuíam;51,7;40,6;38,3;59,8;55,0;57,4
Não possuíam;  68 230;  6 400;  23 208;  24 732;  9 449;  4 441;Não possuíam;48,3;59,4;61,7;40,2;45,0;42,6
Ocupadas;  86 972;  6 728;  21 889;  37 856;  13 635;  6 864;Ocupadas;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  53 139;  3 111;  10 038;  26 610;  8 855;  4 524;Possuíam;61,1;46,2;45,9;70,3;64,9;65,9
Não possuíam;  33 833;  3 617;  11 851;  11 246;  4 779;  2 341;Não possuíam;38,9;53,8;54,1;29,7;35,1;34,1
Não ocupadas;  54 377;  4 051;  15 709;  23 704;  7 356;  3 557;Não ocupadas;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  19 981;  1 268;  4 352;  10 218;  2 686;  1 457;Possuíam;36,7;31,3;27,7;43,1;36,5;41,0
Não possuíam;  34 397;  2 784;  11 357;  13 486;  4 670;  2 100;Não possuíam;63,3;68,7;72,3;56,9;63,5;59,0
Homens;  67 675;  5 417;  17 852;  29 200;  10 137;  5 069;Homens;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  34 668;  2 090;  6 604;  17 527;  5 596;  2 850;Possuíam;51,2;38,6;37,0;60,0;55,2;56,2
Não possuíam;  33 007;  3 327;  11 248;  11 673;  4 541;  2 219;Não possuíam;48,8;61,4;63,0;40,0;44,8;43,8
Ocupados;  50 261;  4 208;  12 919;  21 389;  7 746;  3 999;Ocupados;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  28 722;  1 757;  5 317;  14 376;  4 802;  2 470;Possuíam;57,1;41,7;41,2;67,2;62,0;61,8
Não possuíam;  21 539;  2 451;  7 601;  7 012;  2 945;  1 529;Não possuíam;42,9;58,3;58,8;32,8;38,0;38,2
Não ocupados;  17 414;  1 209;  4 933;  7 811;  2 391;  1 070;Não ocupados;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  5 946;   334;  1 287;  3 150;   795;   380;Possuíam;34,1;27,6;26,1;40,3;33,2;35,5
Não possuíam;  11 469;   876;  3 646;  4 661;  1 596;   690;Não possuíam;65,9;72,4;73,9;59,7;66,8;64,5
Mulheres;  73 674;  5 362;  19 746;  32 361;  10 853;  5 352;Mulheres;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  38 451;  2 289;  7 786;  19 301;  5 945;  3 130;Possuíam;52,2;42,7;39,4;59,6;54,8;58,5
Não possuíam;  35 223;  3 073;  11 960;  13 059;  4 908;  2 222;Não possuíam;47,8;57,3;60,6;40,4;45,2;41,5
Ocupadas;  36 711;  2 520;  8 970;  16 467;  5 888;  2 865;Ocupadas;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  24 417;  1 354;  4 721;  12 234;  4 054;  2 053;Possuíam;66,5;53,7;52,6;74,3;68,8;71,7
Não possuíam;  12 295;  1 166;  4 249;  4 233;  1 835;   812;Não possuíam;33,5;46,3;47,4;25,7;31,2;28,3
Não ocupadas;  36 963;  2 842;  10 776;  15 893;  4 965;  2 487;Não ocupadas;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  14 035;   934;  3 065;  7 067;  1 892;  1 077;Possuíam;38,0;32,9;28,4;44,5;38,1;43,3
Não possuíam;  22 928;  1 908;  7 711;  8 826;  3 073;  1 411;Não possuíam;62,0;67,1;71,6;55,5;61,9;56,7

Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;;;;;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.
