Tabela 1.3.13.1 - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a posse de telefone móvel celular para uso pessoal e os grupamentos ocupacionais no trabalho principal - 2015;;;;;;;Tabela 1.3.13.2 - Distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a posse de telefone móvel celular para uso pessoal e os grupamentos ocupacionais no trabalho principal - 2015

Posse de telefone móvel celular para uso pessoal e grupamentos ocupacionais no trabalho principal;Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (1000 pessoas);;;;;;Posse de telefone móvel celular para uso pessoal e grupamentos ocupacionais no trabalho principal;Distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (%)
;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões
;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
Total;  95 380;  7 559;  24 129;  41 056;  14 995;  7 642;Total;100,0;100,0;100,0;100,0;100,0;100,0
Dirigentes em geral;  4 725;   257;   819;  2 336;   912;   401;Dirigentes em geral;5,0;3,4;3,4;5,7;6,1;5,2
Profissionais das ciências e das artes;  9 373;   567;  1 734;  4 690;  1 562;   818;Profissionais das ciências e das artes;9,8;7,5;7,2;11,4;10,4;10,7
Técnicos de nível médio;  6 834;   424;  1 387;  3 349;  1 130;   543;Técnicos de nível médio;7,2;5,6;5,7;8,2;7,5;7,1
Trabalhadores de serviços administrativos;  8 994;   565;  1 726;  4 483;  1 461;   760;Trabalhadores de serviços administrativos;9,4;7,5;7,2;10,9;9,7;9,9
Trabalhadores dos serviços;  19 256;  1 376;  4 612;  9 017;  2 606;  1 645;Trabalhadores dos serviços;20,2;18,2;19,1;22,0;17,4;21,5
Vendedores e prestadores de serviço do comércio;  9 323;   870;  2 725;  3 780;  1 206;   742;Vendedores e prestadores de serviço do comércio;9,8;11,5;11,3;9,2;8,0;9,7
Trabalhadores agrícolas;  13 312;  1 694;  5 771;  3 022;  1 978;   846;Trabalhadores agrícolas;14,0;22,4;23,9;7,4;13,2;11,1
Trabalhadores da produção de bens e serviços e de reparação e manutenção;  22 701;  1 726;  5 175;  9 986;  4 032;  1 782;Trabalhadores da produção de bens e serviços e de reparação e manutenção;23,8;22,8;21,4;24,3;26,9;23,3
Membros das forças armadas e auxiliares;   843;   79;   177;   378;   104;   105;Membros das forças armadas e auxiliares;0,9;1,0;0,7;0,9;0,7;1,4
Ocupações maldefinidas;   19;   0;   2;   14;   4;-;Ocupações maldefinidas;-;-;-;-;-;-
Possuíam;  83 200;  5 781;  18 945;  37 646;  13 654;  7 175;Possuíam;100,0;100,0;100,0;100,0;100,0;100,0
Dirigentes em geral;  4 594;   245;   784;  2 279;   892;   394;Dirigentes em geral;5,5;4,2;4,1;6,1;6,5;5,5
Profissionais das ciências e das artes;  9 139;   532;  1 664;  4 600;  1 534;   809;Profissionais das ciências e das artes;11,0;9,2;8,8;12,2;11,2;11,3
Técnicos de nível médio;  6 620;   393;  1 315;  3 275;  1 101;   536;Técnicos de nível médio;8,0;6,8;6,9;8,7;8,1;7,5
Trabalhadores de serviços administrativos;  8 752;   545;  1 681;  4 355;  1 423;   747;Trabalhadores de serviços administrativos;10,5;9,4;8,9;11,6;10,4;10,4
Trabalhadores dos serviços;  17 195;  1 152;  3 981;  8 136;  2 384;  1 542;Trabalhadores dos serviços;20,7;19,9;21,0;21,6;17,5;21,5
Vendedores e prestadores de serviço do comércio;  8 555;   734;  2 404;  3 555;  1 152;   712;Vendedores e prestadores de serviço do comércio;10,3;12,7;12,7;9,4;8,4;9,9
Trabalhadores agrícolas;  7 391;   728;  2 629;  1 997;  1 377;   659;Trabalhadores agrícolas;8,9;12,6;13,9;5,3;10,1;9,2
Trabalhadores da produção de bens e serviços e de reparação e manutenção;  20 106;  1 374;  4 311;  9 065;  3 685;  1 670;Trabalhadores da produção de bens e serviços e de reparação e manutenção;24,2;23,8;22,8;24,1;27,0;23,3
Membros das forças armadas e auxiliares;   832;   77;   174;   373;   103;   105;Membros das forças armadas e auxiliares;1,0;1,3;0,9;1,0;0,8;1,5
Ocupações maldefinidas;   17;   0;   1;   12;   4;-;Ocupações maldefinidas;-;-;-;-;-;-
Não possuíam;  12 180;  1 778;  5 184;  3 409;  1 342;   467;Não possuíam;100,0;100,0;100,0;100,0;100,0;100,0
Dirigentes em geral;   131;   12;   35;   58;   20;   6;Dirigentes em geral;1,1;0,7;0,7;1,7;1,5;1,4
Profissionais das ciências e das artes;   233;   35;   70;   90;   29;   9;Profissionais das ciências e das artes;1,9;2,0;1,4;2,6;2,2;1,9
Técnicos de nível médio;   214;   32;   72;   74;   29;   7;Técnicos de nível médio;1,8;1,8;1,4;2,2;2,2;1,5
Trabalhadores de serviços administrativos;   242;   19;   45;   128;   38;   12;Trabalhadores de serviços administrativos;2,0;1,1;0,9;3,8;2,8;2,6
Trabalhadores dos serviços;  2 061;   223;   631;   881;   222;   103;Trabalhadores dos serviços;16,9;12,6;12,2;25,8;16,6;22,1
Vendedores e prestadores de serviço do comércio;   768;   136;   322;   225;   54;   30;Vendedores e prestadores de serviço do comércio;6,3;7,7;6,2;6,6;4,0;6,5
Trabalhadores agrícolas;  5 921;   966;  3 142;  1 026;   601;   187;Trabalhadores agrícolas;48,6;54,3;60,6;30,1;44,8;40,0
Trabalhadores da produção de bens e serviços e de reparação e manutenção;  2 595;   353;   864;   920;   347;   112;Trabalhadores da produção de bens e serviços e de reparação e manutenção;21,3;19,8;16,7;27,0;25,8;23,9
Membros das forças armadas e auxiliares;   11;   2;   2;   5;   2;   0;Membros das forças armadas e auxiliares;0,1;0,1;-;0,1;0,1;0,1
Ocupações maldefinidas;   2;-;   1;   2;-;-;Ocupações maldefinidas;-;-;-;-;-;-

Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;;;;;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.
