Tabela 1.3.14.1 - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a posse de telefone móvel celular para uso pessoal e os grupamentos de atividade do trabalho principal - 2015;;;;;;;Tabela 1.3.14.2 - Distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a posse de telefone móvel celular para uso pessoal e os grupamentos de atividade do trabalho principal - 2015

Posse de telefone móvel celular para uso pessoal e grupamentos de atividade do trabalho principal;Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (1000 pessoas);;;;;;Posse de telefone móvel celular para uso pessoal e grupamentos de atividade do trabalho principal;Distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (%)
;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões
;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
Total;  95 380;  7 559;  24 129;  41 056;  14 995;  7 642;Total;100,0;100,0;100,0;100,0;100,0;100,0
Agrícola;  13 464;  1 695;  5 772;  3 098;  1 993;   906;Agrícola;14,1;22,4;23,9;7,5;13,3;11,9
Indústria;  11 963;   709;  2 080;  5 738;  2 675;   762;Indústria;12,5;9,4;8,6;14,0;17,8;10,0
Indústria de transformação;  11 248;   630;  1 934;  5 396;  2 581;   708;Indústria de transformação;11,8;8,3;8,0;13,1;17,2;9,3
Construção;  8 548;   700;  2 206;  3 683;  1 255;   704;Construção;9,0;9,3;9,1;9,0;8,4;9,2
Comércio e reparação;  17 329;  1 400;  4 371;  7 393;  2 737;  1 428;Comércio e reparação;18,2;18,5;18,1;18,0;18,3;18,7
Alojamento e alimentação;  4 691;   369;  1 178;  2 181;   563;   401;Alojamento e alimentação;4,9;4,9;4,9;5,3;3,8;5,2
Transporte, armazenagem e comunicação;  5 320;   375;  1 074;  2 612;   841;   418;Transporte, armazenagem e comunicação;5,6;5,0;4,5;6,4;5,6;5,5
Administração pública;  5 010;   496;  1 233;  1 997;   692;   592;Administração pública;5,3;6,6;5,1;4,9;4,6;7,8
Educação, saúde e serviços sociais;  10 337;   781;  2 444;  4 736;  1 530;   846;Educação, saúde e serviços sociais;10,8;10,3;10,1;11,5;10,2;11,1
Serviços domésticos;  6 309;   436;  1 513;  2 938;   860;   562;Serviços domésticos;6,6;5,8;6,3;7,2;5,7;7,4
Outros serviços coletivos, sociais e pessoais;  4 077;   247;   864;  2 048;   584;   333;Outros serviços coletivos, sociais e pessoais;4,3;3,3;3,6;5,0;3,9;4,4
Outras atividades;  8 263;   341;  1 374;  4 599;  1 262;   688;Outras atividades;8,7;4,5;5,7;11,2;8,4;9,0
Atividades maldefinidas;   70;   11;   19;   33;   5;   2;Atividades maldefinidas;0,1;0,1;0,1;0,1;-;-
Possuíam;  83 200;  5 781;  18 945;  37 646;  13 654;  7 175;Possuíam;100,0;100,0;100,0;100,0;100,0;100,0
Agrícola;  7 544;   728;  2 639;  2 067;  1 392;   718;Agrícola;9,1;12,6;13,9;5,5;10,2;10,0
Indústria;  10 932;   550;  1 799;  5 383;  2 479;   722;Indústria;13,1;9,5;9,5;14,3;18,2;10,1
Indústria de transformação;  10 255;   486;  1 661;  5 049;  2 389;   671;Indústria de transformação;12,3;8,4;8,8;13,4;17,5;9,3
Construção;  7 276;   559;  1 731;  3 214;  1 123;   649;Construção;8,7;9,7;9,1;8,5;8,2;9,0
Comércio e reparação;  16 062;  1 212;  3 904;  6 968;  2 604;  1 374;Comércio e reparação;19,3;21,0;20,6;18,5;19,1;19,2
Alojamento e alimentação;  4 261;   310;  1 035;  2 016;   521;   379;Alojamento e alimentação;5,1;5,4;5,5;5,4;3,8;5,3
Transporte, armazenagem e comunicação;  5 030;   333;   980;  2 497;   811;   409;Transporte, armazenagem e comunicação;6,0;5,8;5,2;6,6;5,9;5,7
Administração pública;  4 778;   464;  1 147;  1 920;   666;   581;Administração pública;5,7;8,0;6,1;5,1;4,9;8,1
Educação, saúde e serviços sociais;  9 911;   713;  2 286;  4 595;  1 487;   830;Educação, saúde e serviços sociais;11,9;12,3;12,1;12,2;10,9;11,6
Serviços domésticos;  5 447;   348;  1 263;  2 554;   774;   509;Serviços domésticos;6,5;6,0;6,7;6,8;5,7;7,1
Outros serviços coletivos, sociais e pessoais;  3 875;   228;   806;  1 954;   562;   325;Outros serviços coletivos, sociais e pessoais;4,7;3,9;4,3;5,2;4,1;4,5
Outras atividades;  8 030;   329;  1 339;  4 454;  1 230;   678;Outras atividades;9,7;5,7;7,1;11,8;9,0;9,5
Atividades maldefinidas;   56;   7;   16;   26;   5;   1;Atividades maldefinidas;0,1;0,1;0,1;0,1;-;-
Não possuíam;  12 180;  1 778;  5 184;  3 409;  1 342;   467;Não possuíam;100,0;100,0;100,0;100,0;100,0;100,0
Agrícola;  5 920;   967;  3 133;  1 031;   601;   188;Agrícola;48,6;54,4;60,4;30,2;44,8;40,3
Indústria;  1 031;   159;   281;   355;   196;   40;Indústria;8,5;8,9;5,4;10,4;14,6;8,5
Indústria de transformação;   993;   144;   273;   347;   192;   38;Indústria de transformação;8,2;8,1;5,3;10,2;14,3;8,1
Construção;  1 272;   140;   476;   469;   132;   55;Construção;10,4;7,9;9,2;13,8;9,8;11,9
Comércio e reparação;  1 267;   188;   467;   425;   133;   54;Comércio e reparação;10,4;10,6;9,0;12,5;9,9;11,6
Alojamento e alimentação;   430;   59;   143;   165;   42;   22;Alojamento e alimentação;3,5;3,3;2,8;4,8;3,1;4,6
Transporte, armazenagem e comunicação;   290;   42;   94;   115;   30;   9;Transporte, armazenagem e comunicação;2,4;2,4;1,8;3,4;2,2;1,9
Administração pública;   233;   32;   86;   77;   26;   11;Administração pública;1,9;1,8;1,7;2,3;2,0;2,5
Educação, saúde e serviços sociais;   426;   68;   159;   141;   42;   16;Educação, saúde e serviços sociais;3,5;3,8;3,1;4,1;3,2;3,4
Serviços domésticos;   861;   89;   250;   384;   86;   53;Serviços domésticos;7,1;5,0;4,8;11,3;6,4;11,3
Outros serviços coletivos, sociais e pessoais;   202;   19;   58;   94;   22;   8;Outros serviços coletivos, sociais e pessoais;1,7;1,1;1,1;2,8;1,7;1,6
Outras atividades;   233;   12;   35;   145;   31;   10;Outras atividades;1,9;0,7;0,7;4,3;2,3;2,1
Atividades maldefinidas;   14;   3;   3;   7;-;   1;Atividades maldefinidas;0,1;0,2;0,1;0,2;-;0,3

Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;;;;;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.
