Tabela 1.3.15.1 - Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a posse de telefone móvel celular para uso pessoal, a posição na ocupação e a categoria do emprego no trabalho principal - 2015;;;;;;;Tabela 1.3.15.2 - Distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência, por Grandes Regiões, segundo a posse de telefone móvel celular para uso pessoal, a posição na ocupação e a categoria do emprego no trabalho principal - 2015

Posse de telefone móvel celular para uso pessoal, posição na ocupação e categoria do emprego no trabalho principal;Pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (1000 pessoas);;;;;;Posse de telefone móvel celular para uso pessoal, posição na ocupação e categoria do emprego no trabalho principal;Distribuição das pessoas de 10 anos ou mais de idade, ocupadas na semana de referência (%)
;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões
;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
Total;  95 380;  7 559;  24 129;  41 056;  14 995;  7 642;Total;100,0;100,0;100,0;100,0;100,0;100,0
Empregado e trabalhador doméstico;  63 873;  4 347;  14 067;  29 897;  10 175;  5 387;Empregado e trabalhador doméstico;67,0;57,5;58,3;72,8;67,9;70,5
Com carteira de trabalho assinada;  38 841;  1 877;  6 435;  20 292;  7 023;  3 215;Com carteira de trabalho assinada;40,7;24,8;26,7;49,4;46,8;42,1
Militar e funcionário público estatutário;  7 328;   705;  1 768;  2 977;  1 108;   769;Militar e funcionário público estatutário;7,7;9,3;7,3;7,3;7,4;10,1
Outro sem carteira de trabalho assinada;  17 704;  1 765;  5 864;  6 627;  2 044;  1 403;Outro sem carteira de trabalho assinada;18,6;23,4;24,3;16,1;13,6;18,4
Empregado;  57 565;  3 910;  12 554;  26 959;  9 316;  4 825;Empregado;60,4;51,7;52,0;65,7;62,1;63,1
Com carteira de trabalho assinada;  36 825;  1 788;  6 113;  19 202;  6 725;  2 998;Com carteira de trabalho assinada;38,6;23,7;25,3;46,8;44,8;39,2
Militar e funcionário público estatutário;  7 328;   705;  1 768;  2 977;  1 108;   769;Militar e funcionário público estatutário;7,7;9,3;7,3;7,3;7,4;10,1
Outro sem carteira de trabalho assinada;  13 411;  1 417;  4 673;  4 780;  1 483;  1 059;Outro sem carteira de trabalho assinada;14,1;18,7;19,4;11,6;9,9;13,9
Conta própria;  21 823;  2 207;  6 582;  8 198;  3 184;  1 653;Conta própria;22,9;29,2;27,3;20,0;21,2;21,6
Empregador;  3 551;   196;   645;  1 636;   747;   326;Empregador;3,7;2,6;2,7;4,0;5,0;4,3
Não remunerado;  2 287;   369;   857;   540;   396;   124;Não remunerado;2,4;4,9;3,6;1,3;2,6;1,6
Trabalhador na produção para o próprio consumo ou na construção para o próprio uso;  3 847;   440;  1 977;   784;   492;   153;Trabalhador na produção para o próprio consumo ou na construção para o próprio uso;4,0;5,8;8,2;1,9;3,3;2,0
Possuíam;  83 200;  5 781;  18 945;  37 646;  13 654;  7 175;Possuíam;100,0;100,0;100,0;100,0;100,0;100,0
Empregado e trabalhador doméstico;  58 540;  3 732;  12 187;  27 937;  9 558;  5 126;Empregado e trabalhador doméstico;70,4;64,6;64,3;74,2;70,0;71,4
Com carteira de trabalho assinada;  36 749;  1 741;  6 014;  19 251;  6 651;  3 092;Com carteira de trabalho assinada;44,2;30,1;31,7;51,1;48,7;43,1
Militar e funcionário público estatutário;  7 014;   659;  1 656;  2 875;  1 067;   757;Militar e funcionário público estatutário;8,4;11,4;8,7;7,6;7,8;10,5
Outro sem carteira de trabalho assinada;  14 776;  1 331;  4 517;  5 810;  1 841;  1 278;Outro sem carteira de trabalho assinada;17,8;23,0;23,8;15,4;13,5;17,8
Empregado;  53 092;  3 384;  10 924;  25 383;  8 785;  4 617;Empregado;63,8;58,5;57,7;67,4;64,3;64,4
Com carteira de trabalho assinada;  34 912;  1 664;  5 712;  18 271;  6 379;  2 886;Com carteira de trabalho assinada;42,0;28,8;30,2;48,5;46,7;40,2
Militar e funcionário público estatutário;  7 014;   659;  1 656;  2 875;  1 067;   757;Militar e funcionário público estatutário;8,4;11,4;8,7;7,6;7,8;10,5
Outro sem carteira de trabalho assinada;  11 166;  1 061;  3 555;  4 236;  1 339;   975;Outro sem carteira de trabalho assinada;13,4;18,4;18,8;11,3;9,8;13,6
Conta própria;  17 885;  1 519;  4 771;  7 286;  2 786;  1 522;Conta própria;21,5;26,3;25,2;19,4;20,4;21,2
Empregador;  3 417;   179;   606;  1 588;   726;   318;Empregador;4,1;3,1;3,2;4,2;5,3;4,4
