Tabela 1.3.16.1 - Pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo a posse de telefone móvel celular para uso pessoal e as classes de rendimento mensal - 2015;;;;;;;Tabela 1.3.16.2 - Distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo a posse de telefone móvel celular para uso pessoal e as classes de rendimento mensal - 2015

Posse de telefone móvel celular para uso pessoal e classes de rendimento mensal;Pessoas de 10 anos ou mais de idade (1000 pessoas);;;;;;Posse de telefone móvel celular para uso pessoal e classes de rendimento mensal;Distribuição das pessoas de 10 anos ou mais de idade (%)
;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões
;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
Total (1);  177 657;  14 537;  48 410;  75 599;  25 772;  13 340;Total (1);100,0;100,0;100,0;100,0;100,0;100,0
Sem rendimento (2);  12 371;  1 430;  6 808;  2 707;   859;   568;Sem rendimento (2);7,0;9,8;14,1;3,6;3,3;4,3
Até 1/2 salário mínimo;  9 223;  1 200;  3 914;  2 624;   968;   517;Até 1/2 salário mínimo;5,2;8,3;8,1;3,5;3,8;3,9
Mais de 1/2 a 1 salário mínimos;  57 149;  4 425;  15 939;  24 186;  8 334;  4 265;Mais de 1/2 a 1 salário mínimos;32,2;30,4;32,9;32,0;32,3;32,0
Mais de 1 a 2 salário mínimos;  21 456;  1 194;  3 273;  10 798;  4 324;  1 868;Mais de 1 a 2 salário mínimos;12,1;8,2;6,8;14,3;16,8;14,0
Mais de 2 a 3 salário mínimos;  12 502;   658;  1 631;  6 540;  2 572;  1 101;Mais de 2 a 3 salário mínimos;7,0;4,5;3,4;8,7;10,0;8,3
Mais de 3 a 5 salários mínimos;  7 358;   385;   967;  3 786;  1 463;   758;Mais de 3 a 5 salários mínimos;4,1;2,6;2,0;5,0;5,7;5,7
Mais de 5 a 10 salário mínimos;  2 428;   98;   290;  1 325;   423;   292;Mais de 5 a 10 salário mínimos;1,4;0,7;0,6;1,8;1,6;2,2
Mais de10 a 20 salário mínimos;   953;   27;   110;   538;   155;   123;Mais de10 a 20 salário mínimos;0,5;0,2;0,2;0,7;0,6;0,9
Mais de 20 salários mínimos;  52 272;  5 043;  15 206;  21 843;  6 417;  3 763;Mais de 20 salários mínimos;29,4;34,7;31,4;28,9;24,9;28,2
Possuíam (1);  139 057;  9 971;  33 690;  62 455;  21 350;  11 590;Possuíam (1);100,0;100,0;100,0;100,0;100,0;100,0
Sem rendimento (2);  37 854;  3 024;  9 760;  17 100;  4 924;  3 047;Sem rendimento (2);27,2;30,3;29,0;27,4;23,1;26,3
Até 1/2 salário mínimo;  8 399;   861;  4 353;  2 073;   650;   462;Até 1/2 salário mínimo;6,0;8,6;12,9;3,3;3,0;4,0
Mais de 1/2 a 1 salário mínimos;  7 078;   784;  2 849;  2 168;   820;   457;Mais de 1/2 a 1 salário mínimos;5,1;7,9;8,5;3,5;3,8;3,9
Mais de 1 a 2 salário mínimos;  43 403;  3 165;  11 076;  18 962;  6 581;  3 618;Mais de 1 a 2 salário mínimos;31,2;31,7;32,9;30,4;30,8;31,2
Mais de 2 a 3 salário mínimos;  18 674;   993;  2 632;  9 528;  3 796;  1 724;Mais de 2 a 3 salário mínimos;13,4;10,0;7,8;15,3;17,8;14,9
Mais de 3 a 5 salários mínimos;  11 658;   608;  1 542;  6 059;  2 394;  1 055;Mais de 3 a 5 salários mínimos;8,4;6,1;4,6;9,7;11,2;9,1
Mais de 5 a 10 salário mínimos;  7 051;   363;   926;  3 623;  1 397;   742;Mais de 5 a 10 salário mínimos;5,1;3,6;2,7;5,8;6,5;6,4
Mais de10 a 20 salário mínimos;  2 363;   94;   281;  1 286;   413;   288;Mais de10 a 20 salário mínimos;1,7;0,9;0,8;2,1;1,9;2,5
Mais de 20 salários mínimos;   925;   26;   106;   525;   147;   120;Mais de 20 salários mínimos;0,7;0,3;0,3;0,8;0,7;1,0
Não possuíam (1);  38 600;  4 566;  14 720;  13 144;  4 421;  1 750;Não possuíam (1);100,0;100,0;100,0;100,0;100,0;100,0
