Tabela 1.3.17.1 - Pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo a posse de telefone móvel celular para uso pessoal e as classes de rendimento mensal domiciliar per capita - 2015 ;;;;;;;Tabela 1.3.17.2 - Distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo a segundo a posse de telefone móvel celular para uso pessoal e as classes de rendimento mensal domiciliar per capita - 2015 

Posse de telefone móvel celular para uso pessoal e classes de rendimento mensal domiciliar per capita;Pessoas de 10 anos ou mais de idade (1000 pessoas);;;;;;Posse de telefone móvel celular para uso pessoal e classes de rendimento mensal domiciliar per capita;Distribuição das pessoas de 10 anos ou mais de idade (%)
;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões
;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
Total (1);  177 347;  14 511;  48 328;  75 478;  25 721;  13 310;Total (1);100,0;100,0;100,0;100,0;100,0;100,0
Sem rendimento a 1/4 do salário mínimo (2);  12 582;  1 692;  7 311;  2 494;   698;   387;Sem rendimento a 1/4 do salário mínimo (2);7,1;11,7;15,1;3,3;2,7;2,9
Mais de 1/4 a 1/2 salário mínimo;  24 917;  3 358;  10 992;  7 371;  1 883;  1 313;Mais de 1/4 a 1/2 salário mínimo;14,0;23,1;22,7;9,8;7,3;9,9
Mais de 1/2 a 1 salário mínimo;  48 030;  4 471;  14 791;  19 469;  5 745;  3 555;Mais de 1/2 a 1 salário mínimo;27,1;30,8;30,6;25,8;22,3;26,7
Mais de 1 a 2 salário mínimos;  53 653;  3 239;  10 201;  25 944;  9 683;  4 586;Mais de 1 a 2 salário mínimos;30,3;22,3;21,1;34,4;37,6;34,5
Mais de 2 a 3 salário mínimos;  16 292;   813;  2 046;  8 334;  3 620;  1 478;Mais de 2 a 3 salário mínimos;9,2;5,6;4,2;11,0;14,1;11,1
Mais de 3 a 5 salários mínimos;  9 909;   445;  1 322;  5 038;  2 145;   960;Mais de 3 a 5 salários mínimos;5,6;3,1;2,7;6,7;8,3;7,2
Mais de 5 a 10 salários mínimos;  5 540;   216;   659;  3 032;  1 042;   591;Mais de 5 a 10 salários mínimos;3,1;1,5;1,4;4,0;4,1;4,4
Mais de 10 salários mínimos;  2 016;   52;   218;  1 169;   330;   245;Mais de 10 salários mínimos;1,1;0,4;0,5;1,5;1,3;1,8
Possuíam (1);  138 785;  9 948;  33 617;  62 351;  21 305;  11 564;Possuíam (1);100,0;100,0;100,0;100,0;100,0;100,0
Sem rendimento a 1/4 do salário mínimo (2);  6 787;   711;  3 639;  1 715;   445;   276;Sem rendimento a 1/4 do salário mínimo (2);4,9;7,1;10,8;2,8;2,1;2,4
Mais de 1/4 a 1/2 salário mínimo;  16 890;  2 009;  7 176;  5 386;  1 317;  1 002;Mais de 1/4 a 1/2 salário mínimo;12,2;20,2;21,3;8,6;6,2;8,7
Mais de 1/2 a 1 salário mínimo;  37 083;  3 176;  10 801;  15 515;  4 592;  3 000;Mais de 1/2 a 1 salário mínimo;26,7;31,9;32,1;24,9;21,6;25,9
Mais de 1 a 2 salário mínimos;  43 573;  2 526;  7 657;  21 427;  7 947;  4 016;Mais de 1 a 2 salário mínimos;31,4;25,4;22,8;34,4;37,3;34,7
Mais de 2 a 3 salário mínimos;  14 453;   718;  1 786;  7 374;  3 205;  1 369;Mais de 2 a 3 salário mínimos;10,4;7,2;5,3;11,8;15,0;11,8
Mais de 3 a 5 salários mínimos;  9 223;   409;  1 253;  4 653;  1 993;   915;Mais de 3 a 5 salários mínimos;6,6;4,1;3,7;7,5;9,4;7,9
Mais de 5 a 10 salários mínimos;  5 286;   205;   632;  2 885;   988;   575;Mais de 5 a 10 salários mínimos;3,8;2,1;1,9;4,6;4,6;5,0
Mais de 10 salários mínimos;  1 943;   51;   209;  1 128;   316;   239;Mais de 10 salários mínimos;1,4;0,5;0,6;1,8;1,5;2,1
Não possuíam (1);  38 562;  4 562;  14 710;  13 127;  4 417;  1 746;Não possuíam (1);100,0;100,0;100,0;100,0;100,0;100,0
Sem rendimento a 1/4 do salário mínimo (2);  5 795;   981;  3 672;   779;   253;   111;Sem rendimento a 1/4 do salário mínimo (2);15,0;21,5;25,0;5,9;5,7;6,4
Mais de 1/4 a 1/2 salário mínimo;  8 027;  1 349;  3 815;  1 985;   566;   311;Mais de 1/4 a 1/2 salário mínimo;20,8;29,6;25,9;15,1;12,8;17,8
Mais de 1/2 a 1 salário mínimo;  10 946;  1 295;  3 990;  3 954;  1 153;   555;Mais de 1/2 a 1 salário mínimo;28,4;28,4;27,1;30,1;26,1;31,8
Mais de 1 a 2 salário mínimos;  10 079;   713;  2 544;  4 517;  1 736;   570;Mais de 1 a 2 salário mínimos;26,1;15,6;17,3;34,4;39,3;32,7
Mais de 2 a 3 salário mínimos;  1 839;   95;   260;   960;   415;   108;Mais de 2 a 3 salário mínimos;4,8;2,1;1,8;7,3;9,4;6,2
Mais de 3 a 5 salários mínimos;   687;   37;   68;   385;   151;   45;Mais de 3 a 5 salários mínimos;1,8;0,8;0,5;2,9;3,4;2,6
Mais de 5 a 10 salários mínimos;   254;   11;   27;   147;   54;   15;Mais de 5 a 10 salários mínimos;0,7;0,2;0,2;1,1;1,2;0,9
Mais de 10 salários mínimos;   72;   2;   9;   41;   14;   6;Mais de 10 salários mínimos;0,2;-;0,1;0,3;0,3;0,4

Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;;;;;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.
Nota: Exclusive as pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.;;;;;;;Nota: Exclusive as pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.
(1) Inclusive as pessoas sem declaração  de  rendimento mensal domiciliar per capita. (2) Inclusive as pessoas moradoras em unidades domiciliares cujos componentes recebiam somente em benefícios.;;;;;;;(1) Inclusive as pessoas sem declaração  de  rendimento mensal domiciliar per capita. (2) Inclusive as pessoas moradoras em unidades domiciliares cujos componentes recebiam somente em benefícios.
