Tabela 1.3.18 - Rendimento, médio e mediano, mensal domiciliar per capita das pessoas de 10 anos ou mais de idade, por posse de telefone móvel celular para uso pessoal, segundo as Grandes Regiões e os grupos de anos de estudo - 2015 

Grandes Regiões e os grupos de anos de estudo;Rendimento médio mensal domiciliar per capita das pessoas de 10 anos ou mais de idade (R$) (1);;;Rendimento mediano mensal domiciliar per capita das pessoas de 10 anos ou mais de idade (R$) (1)
;Total;Posse de telefone móvel celular para uso pessoal;;Total;Posse de telefone móvel celular para uso pessoal
;;Possuíam;Não possuíam;;Possuíam;Não possuíam
Brasil (2);  1 114;  1 242;   656;   733;   788;   491
Sem instrução e menos de 1 ano;   678;   743;   634;   590;   611;   565
1 a 3 anos;   657;   753;   555;   512;   599;   411
4 a 7 anos;   750;   806;   615;   560;   602;   434
8 a 10 anos;   839;   869;   647;   609;   643;   436
11 a 14 anos;  1 205;  1 224;   923;   860;   875;   616
15 anos ou mais;  3 123;  3 150;  2 258;  2 048;  2 079;  1 344
Norte (2);   756;   888;   468;   494;   565;   346
Sem instrução e menos de 1 ano;   581;   651;   541;   483;   525;   453
1 a 3 anos;   500;   622;   419;   365;   449;   310
4 a 7 anos;   541;   624;   425;   393;   443;   306
8 a 10 anos;   620;   667;   455;   438;   475;   322
11 a 14 anos;   889;   918;   613;   632;   662;   412
15 anos ou mais;  2 189;  2 237;   994;  1 433;  1 474;   816
Nordeste (2);   708;   821;   447;   457;   524;   341
Sem instrução e menos de 1 ano;   543;   561;   533;   475;   466;   481
1 a 3 anos;   456;   529;   394;   345;   400;   296
4 a 7 anos;   488;   549;   373;   360;   399;   270
8 a 10 anos;   547;   582;   389;   396;   427;   267
11 a 14 anos;   863;   887;   575;   599;   623;   393
15 anos ou mais;  2 352;  2 388;  1 313;  1 496;  1 499;   740
Sudeste (2);  1 316;  1 416;   848;   825;   894;   666
Sem instrução e menos de 1 ano;   809;   880;   755;   742;   749;   729
1 a 3 anos;   789;   855;   705;   666;   737;   590
4 a 7 anos;   872;   902;   789;   696;   707;   636
8 a 10 anos;   939;   955;   820;   719;   732;   604
11 a 14 anos;  1 316;  1 325;  1 157;   965;   974;   798
15 anos ou mais;  3 427;  3 450;  2 715;  2 286;  2 298;  1 679
Sul (2);  1 372;  1 466;   921;   945;  1 000;   787
Sem instrução e menos de 1 ano;   877;   935;   822;   787;   788;   786
1 a 3 anos;   918;   994;   820;   787;   788;   777
4 a 7 anos;   964;   992;   881;   788;   788;   779
8 a 10 anos;  1 077;  1 088;   983;   822;   833;   724
11 a 14 anos;  1 467;  1 484;  1 165;  1 133;  1 149;   818
15 anos ou mais;  3 170;  3 191;  2 442;  2 231;  2 249;  1 574
Centro-Oeste (2);  1 359;  1 443;   800;   832;   889;   607
Sem instrução e menos de 1 ano;   882;   902;   855;   787;   787;   785
1 a 3 anos;   828;   902;   690;   674;   748;   549
4 a 7 anos;   881;   921;   705;   666;   703;   525
8 a 10 anos;   988;  1 002;   813;   736;   749;   566
11 a 14 anos;  1 395;  1 405;  1 112;   996;   999;   772
15 anos ou mais;  3 380;  3 397;  2 277;  2 198;  2 217;  1 124

Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.
Nota: Exclusive as informações das pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.
(1) Exclusive as informações das pessoas sem declaração de rendimento mensal domiciliar per capita. (2) Inclusive as informações das pessoas com anos de estudo não determinados.
