Tabela 1.3.19 - Rendimento, médio e mediano, mensal domiciliar per capita das pessoas de 10 anos ou mais de idade, por posse de telefone móvel celular para uso pessoal, segundo as Grandes Regiões e o nível de instrução - 2015 

Grandes Regiões e nível de instrução;Rendimento médio mensal domiciliar per capita das pessoas de 10 anos ou mais de idade (R$) (1);;;Rendimento mediano mensal domiciliar per capita das pessoas de 10 anos ou mais de idade (R$) (1)
;Total;Posse de telefone móvel celular para uso pessoal;;Total;Posse de telefone móvel celular para uso pessoal
;;Possuíam;Não possuíam;;Possuíam;Não possuíam
Brasil (2);  1 114;  1 242;   656;   733;   788;   491
Sem instrução;   678;   743;   634;   590;   611;   565
Fundamental incompleto;   724;   795;   591;   543;   600;   425
Fundamental completo;   857;   886;   705;   644;   666;   497
Médio incompleto;   812;   848;   531;   582;   600;   374
Médio completo;  1 105;  1 120;   901;   800;   821;   600
Superior incompleto;  1 634;  1 647;  1 107;  1 150;  1 165;   714
Superior completo;  3 116;  3 140;  2 315;  2 060;  2 099;  1 445
Norte (2);   756;   888;   468;   494;   565;   346
Sem instrução;   581;   651;   541;   483;   525;   453
Fundamental incompleto;   528;   624;   423;   387;   445;   308
Fundamental completo;   618;   664;   467;   437;   475;   319
Médio incompleto;   625;   672;   438;   439;   474;   330
Médio completo;   828;   854;   612;   597;   612;   400
Superior incompleto;  1 219;  1 244;   589;   862;   886;   448
Superior completo;  2 214;  2 259;  1 036;  1 482;  1 497;   858
Nordeste (2);   708;   821;   447;   457;   524;   341
Sem instrução;   543;   561;   533;   475;   466;   481
Fundamental incompleto;   477;   544;   383;   354;   399;   284
Fundamental completo;   561;   598;   415;   402;   440;   286
Médio incompleto;   531;   565;   343;   393;   410;   254
Médio completo;   800;   822;   554;   565;   591;   392
Superior incompleto;  1 222;  1 237;   736;   830;   847;   531
Superior completo;  2 394;  2 425;  1 461;  1 500;  1 549;   898
Sudeste (2);  1 316;  1 416;   848;   825;   894;   666
Sem instrução;   809;   880;   755;   742;   749;   729
Fundamental incompleto;   852;   893;   759;   690;   717;   615
Fundamental completo;   953;   964;   887;   749;   749;   698
Médio incompleto;   915;   939;   647;   674;   698;   500
Médio completo;  1 206;  1 211;  1 133;   900;   905;   788
Superior incompleto;  1 800;  1 809;  1 389;  1 266;  1 272;   953
Superior completo;  3 371;  3 392;  2 696;  2 249;  2 260;  1 738
Sul (2);  1 372;  1 466;   921;   945;  1 000;   787
Sem instrução;   877;   935;   822;   787;   788;   786
Fundamental incompleto;   953;   992;   859;   787;   788;   779
Fundamental completo;  1 069;  1 085;   962;   832;   849;   767
Médio incompleto;  1 093;  1 096;  1 050;   799;   820;   538
Médio completo;  1 357;  1 370;  1 144;  1 065;  1 075;   798
Superior incompleto;  1 848;  1 860;  1 329;  1 396;  1 399;   782
Superior completo;  3 172;  3 190;  2 499;  2 249;  2 259;  1 691
Centro-Oeste (2);  1 359;  1 443;   800;   832;   889;   607
Sem instrução;   882;   902;   855;   787;   787;   785
Fundamental incompleto;   866;   916;   700;   671;   714;   538
Fundamental completo;   985;   998;   849;   746;   750;   594
Médio incompleto;   991;  1 008;   743;   723;   736;   511
Médio completo;  1 282;  1 290;  1 091;   936;   948;   755
Superior incompleto;  1 755;  1 760;  1 373;  1 166;  1 166;  1 053
Superior completo;  3 387;  3 401;  2 373;  2 234;  2 242;  1 115

Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.
Nota: Exclusive as informações das pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.
(1) Exclusive as informações das pessoas sem declaração de rendimento mensal domiciliar per capita. (2) Inclusive as informações das pessoas com nível de instrução não determinado.
