Tabela 1.3.21.1 - Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por grupos de idade, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015;;;;;;;;;;Tabela 1.3.21.2 - Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por grupos de idade, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015;;;;;;;;;;Tabela 1.3.21.3 - Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por grupos de idade, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015

Grandes Regiões, Unidades da Federação e Regiões Metropolitanas;Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (1000 pessoas);;;;;;;;;Grandes Regiões, Unidades da Federação e Regiões Metropolitanas;Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (%);;;;;;;;;Grandes Regiões, Unidades da Federação e Regiões Metropolitanas;Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade (%)
;Total;Grupos de idade;;;;;;;;;Total;Grupos de idade;;;;;;;;;Total;Grupos de idade
;;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 anos ou mais;;;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 anos ou mais;;;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 anos ou mais
Brasil;  139 057;  8 586;  14 565;  13 970;  13 710;  28 398;  24 026;  19 173;  16 628;Brasil;100,0;6,2;10,5;10,0;9,9;20,4;17,3;13,8;12,0;Brasil;78,3;54,1;83,3;89,6;89,8;88,6;85,4;80,3;56,6
Norte;  9 971;   617;  1 193;  1 164;  1 124;  2 184;  1 638;  1 136;   915;Norte;100,0;6,2;12,0;11,7;11,3;21,9;16,4;11,4;9,2;Norte;68,6;36,5;68,8;79,0;80,6;79,1;76,6;71,9;51,7
Rondônia;  1 137;   71;   130;   122;   128;   246;   195;   142;   102;Rondônia;100,0;6,3;11,5;10,8;11,3;21,6;17,2;12,5;8,9;Rondônia;75,9;47,8;79,4;85,5;87,2;84,7;80,3;77,8;56,7
Acre;   450;   31;   61;   57;   52;   96;   75;   39;   40;Acre;100,0;7,0;13,6;12,6;11,5;21,3;16,6;8,6;8,8;Acre;69,2;39,9;68,0;77,0;83,1;80,0;77,1;66,7;55,5
Amazonas;  2 216;   148;   253;   288;   254;   490;   352;   241;   190;Amazonas;100,0;6,7;11,4;13,0;11,5;22,1;15,9;10,9;8,6;Amazonas;68,9;36,5;65,5;77,5;80,1;79,3;79,4;73,9;54,5
Roraima;   315;   28;   39;   36;   32;   75;   47;   34;   24;Roraima;100,0;8,8;12,4;11,4;10,2;23,9;15,0;10,8;7,5;Roraima;74,8;48,4;74,7;83,7;82,5;87,9;81,7;74,9;58,2
Pará;  4 408;   248;   545;   499;   510;   957;   739;   502;   407;Pará;100,0;5,6;12,4;11,3;11,6;21,7;16,8;11,4;9,2;Pará;64,5;31,7;65,6;76,1;78,0;75,1;72,3;67,2;46,8
Região Metropolitana de Belém;  1 593;   83;   159;   173;   175;   353;   283;   196;   171;Região Metropolitana de Belém;100,0;5,2;10,0;10,8;11,0;22,1;17,8;12,3;10,7;Região Metropolitana de Belém;82,8;50,5;82,8;91,9;94,0;92,5;89,7;83,7;65,5
Amapá;   452;   29;   55;   60;   49;   110;   69;   44;   37;Amapá;100,0;6,4;12,1;13,2;10,8;24,3;15,2;9,7;8,2;Amapá;72,6;37,1;71,5;82,3;80,5;84,8;80,9;75,6;60,0
Tocantins;   994;   61;   110;   102;   99;   210;   160;   134;   116;Tocantins;100,0;6,2;11,1;10,3;10,0;21,1;16,1;13,5;11,7;Tocantins;77,0;44,6;81,5;90,2;87,1;86,6;84,9;83,4;58,7
