Tabela 1.3.22.1 - Pessoas de 10 anos ou mais de idade, total e que tinham telefone móvel celular para uso pessoal, por situação do domicílio, segundo as Grandes Regiões e as Unidades da Federação - 2015;;;;;;;Tabela 1.3.22.2 - Distribuição das pessoas de 10 anos ou mais de idade, total e que tinham telefone móvel celular para uso pessoal, e percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por situação do domicílio, segundo as Grandes Regiões e as Unidades da Federação - 2015

Grandes Regiões e Unidades da Federação;Pessoas de 10 anos ou mais de idade;;;;;;Grandes Regiões e Unidades da Federação;Distribuição das pessoas de 10 anos ou mais de idade (%);;;;;;Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade (%)
;Total;Situação do domicílio;;Tinham telefone móvel celular para uso pessoal;;;;Total;Situação do domicílio;;Tinham telefone móvel celular para uso pessoal
;;;;Total;Situação do domicílio;;;;;;Total;Situação do domicílio;;Total;Situação do domicílio
;;Urbana;Rural;;Urbana;Rural;;;Urbana;Rural;;Urbana;Rural;;Urbana;Rural
Brasil;  177 657;  150 985;  26 671;  139 057;  124 971;  14 085;Brasil;100,0;85,0;15,0;100,0;89,9;10,1;78,3;82,8;52,8
Norte;  14 537;  10 985;  3 552;  9 971;  8 584;  1 388;Norte;100,0;75,6;24,4;100,0;86,1;13,9;68,6;78,1;39,1
Rondônia;  1 498;  1 139;   359;  1 137;   929;   208;Rondônia;100,0;76,1;23,9;100,0;81,7;18,3;75,9;81,6;57,8
Acre;   651;   472;   179;   450;   377;   73;Acre;100,0;72,5;27,5;100,0;83,7;16,3;69,2;79,9;40,9
Amazonas;  3 216;  2 727;   489;  2 216;  2 112;   104;Amazonas;100,0;84,8;15,2;100,0;95,3;4,7;68,9;77,4;21,2
Roraima;   421;   356;   64;   315;   293;   22;Roraima;100,0;84,7;15,3;100,0;93,0;7,0;74,8;82,2;34,3
Pará;  6 837;  4 734;  2 103;  4 408;  3 610;   798;Pará;100,0;69,2;30,8;100,0;81,9;18,1;64,5;76,2;37,9
Amapá;   623;   547;   76;   452;   429;   23;Amapá;100,0;87,7;12,3;100,0;94,9;5,1;72,6;78,5;30,2
Tocantins;  1 290;  1 008;   282;   994;   833;   160;Tocantins;100,0;78,2;21,8;100,0;83,9;16,1;77,0;82,6;56,9
Nordeste;  48 410;  35 540;  12 870;  33 690;  27 767;  5 923;Nordeste;100,0;73,4;26,6;100,0;82,4;17,6;69,6;78,1;46,0
Maranhão;  5 654;  3 384;  2 271;  3 094;  2 360;   734;Maranhão;100,0;59,8;40,2;100,0;76,3;23,7;54,7;69,7;32,3
Piauí;  2 738;  1 821;   916;  1 874;  1 438;   436;Piauí;100,0;66,5;33,5;100,0;76,7;23,3;68,4;78,9;47,6
Ceará;  7 676;  5 593;  2 082;  5 189;  4 225;   964;Ceará;100,0;72,9;27,1;100,0;81,4;18,6;67,6;75,5;46,3
Rio Grande do Norte;  2 976;  2 312;   663;  2 250;  1 881;   369;Rio Grande do Norte;100,0;77,7;22,3;100,0;83,6;16,4;75,6;81,3;55,7
Paraíba;  3 411;  2 742;   670;  2 605;  2 198;   407;Paraíba;100,0;80,4;19,6;100,0;84,4;15,6;76,4;80,2;60,8
Pernambuco;  8 100;  6 494;  1 606;  5 970;  5 188;   782;Pernambuco;100,0;80,2;19,8;100,0;86,9;13,1;73,7;79,9;48,7
Alagoas;  2 849;  2 103;   746;  1 916;  1 562;   354;Alagoas;100,0;73,8;26,2;100,0;81,5;18,5;67,2;74,3;47,5
Sergipe;  1 921;  1 373;   548;  1 467;  1 125;   342;Sergipe;100,0;71,5;28,5;100,0;76,7;23,3;76,4;81,9;62,4
Bahia;  13 085;  9 717;  3 368;  9 326;  7 790;  1 535;Bahia;100,0;74,3;25,7;100,0;83,5;16,5;71,3;80,2;45,6
