Tabela 1.3.23.1 - Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por grupos de anos de estudo, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015;;;;;;;;Tabela 1.3.23.2 - Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por grupos de anos de estudo, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015;;;;;;;;Tabela 1.3.23.3 - Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por grupos de anos de estudo, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015

Grandes Regiões, Unidades da Federação e Regiões Metropolitanas;Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (1000 pessoas);;;;;;;Grandes Regiões, Unidades da Federação e Regiões Metropolitanas;Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (%);;;;;;;Grandes Regiões, Unidades da Federação e Regiões Metropolitanas;Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade (%)
;Total;Grupos de anos de estudo;;;;;;;Total;Grupos de anos de estudo;;;;;;;Total (1);Grupos de anos de estudo
;;Sem instrução a menos de 4 anos;4 a 7 anos;8 a 10 anos;11 a 14 anos;15 anos ou mais;Não deter-minados;;;Sem instrução a menos de 4 anos;4 a 7 anos;8 a 10 anos;11 a 14 anos;15 anos ou mais;Não deter-minados;;;Sem instrução a menos de 4 anos;4 a 7 anos;8 a 10 anos;11 a 14 anos;15 anos ou mais;Não deter-minados
Brasil;  139 057;  15 328;  31 116;  26 390;  48 893;  17 168;   163;Brasil;100,0;11,0;22,4;19,0;35,2;12,3;0,1;Brasil;78,3;46,3;70,8;86,2;93,8;97,0;75,5
Norte;  9 971;  1 252;  2 200;  2 062;  3 497;   942;   17;Norte;100,0;12,6;22,1;20,7;35,1;9,4;0,2;Norte;68,6;38,6;58,3;78,0;90,5;96,1;54,0
Rondônia;  1 137;   159;   293;   221;   341;   121;   2;Rondônia;100,0;14,0;25,7;19,4;30,0;10,7;0,1;Rondônia;75,9;49,7;70,5;83,4;92,1;96,6;100,0
Acre;   450;   74;   77;   99;   149;   49;   2;Acre;100,0;16,4;17,1;22,1;33,1;10,8;0,5;Acre;69,2;42,2;56,8;80,4;92,3;93,9;66,6
Amazonas;  2 216;   202;   443;   418;   917;   232;   4;Amazonas;100,0;9,1;20,0;18,8;41,4;10,5;0,2;Amazonas;68,9;34,9;55,3;73,0;90,6;96,4;33,3
Roraima;   315;   29;   62;   59;   123;   43;   0;Roraima;100,0;9,1;19,6;18,7;39,0;13,5;0,1;Roraima;74,8;42,3;60,9;77,2;93,4;97,6;100,0
Pará;  4 408;   598;  1 024;   977;  1 475;   327;   7;Pará;100,0;13,6;23,2;22,2;33,5;7,4;0,2;Pará;64,5;35,3;54,9;77,3;89,0;95,0;56,4
Região Metropolitana de Belém;  1 593;   112;   293;   369;   642;   173;   4;Região Metropolitana de Belém;100,0;7,0;18,4;23,1;40,3;10,8;0,3;Região Metropolitana de Belém;82,8;48,8;70,4;88,0;94,7;98,5;74,1
Amapá;   452;   42;   87;   94;   175;   52;   2;Amapá;100,0;9,4;19,3;20,8;38,7;11,5;0,3;Amapá;72,6;39,0;58,8;80,1;90,4;98,0;85,7
Tocantins;   994;   148;   216;   195;   318;   117;   1;Tocantins;100,0;14,9;21,7;19,6;32,0;11,8;0,1;Tocantins;77,0;49,2;70,2;86,7;94,0;97,9;100,0
