Tabela 1.3.24.1 - Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por nível de instrução, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015;;;;;;;;;Tabela 1.3.24.2 - Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por nível de instrução, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015;;;;;;;;;Tabela 1.3.24.3 - Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade, por nível de instrução, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015

Grandes Regiões, Unidades da Federação e Regiões Metropolitanas;Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (1000 pessoas);;;;;;;;Grandes Regiões, Unidades da Federação e Regiões Metropolitanas;Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (%);;;;;;;;Grandes Regiões, Unidades da Federação e Regiões Metropolitanas;Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de 10 anos ou mais de idade (%)
;Total;Nível de instrução;;;;;;;;Total;Nível de instrução;;;;;;;;Total (1);Nível de instrução
;;Sem instrução e funda-mental incompleto;Funda-mental completo;Médio incompleto;Médio completo;Superior incompleto;Superior completo;Não deter-minado;;;Sem instrução e funda-mental incompleto;Funda-mental completo;Médio incompleto;Médio completo;Superior incompleto;Superior completo;Não deter-minado;;;Sem instrução e fundamental incompleto;Fundamental completo;Médio incompleto;Médio completo;Superior incompleto;Superior completo;Não deter-minado
Brasil;  139 057;  46 505;  14 858;  11 256;  40 388;  7 980;  17 692;   377;Brasil;100,0;33,4;10,7;8,1;29,0;5,7;12,7;0,3;Brasil;78,3;60,3;84,3;88,9;93,0;97,6;97,1;85,1
Norte;  9 971;  3 457;  1 062;   972;  2 929;   587;   923;   40;Norte;100,0;34,7;10,7;9,8;29,4;5,9;9,3;0,4;Norte;68,6;49,2;76,6;79,7;89,4;96,4;96,3;66,9
Rondônia;  1 137;   452;   127;   89;   270;   78;   114;   6;Rondônia;100,0;39,8;11,2;7,8;23,8;6,8;10,1;0,5;Rondônia;75,9;61,4;83,2;83,3;90,5;97,6;97,2;95,8
Acre;   450;   151;   51;   47;   122;   30;   46;   4;Acre;100,0;33,5;11,2;10,4;27,0;6,6;10,3;0,9;Acre;69,2;48,5;77,5;83,2;91,3;96,0;94,3;77,4
Amazonas;  2 216;   646;   195;   215;   762;   153;   235;   10;Amazonas;100,0;29,2;8,8;9,7;34,4;6,9;10,6;0,4;Amazonas;68,9;46,8;70,5;75,7;89,5;96,1;96,5;47,6
Roraima;   315;   90;   29;   29;   95;   29;   42;   1;Roraima;100,0;28,7;9,3;9,2;30,1;9,1;13,3;0,3;Roraima;74,8;53,4;74,7;79,6;92,2;97,2;98,1;100,0
Pará;  4 408;  1 624;   509;   456;  1 286;   194;   321;   16;Pará;100,0;36,9;11,6;10,4;29,2;4,4;7,3;0,4;Pará;64,5;45,6;75,5;79,3;88,2;95,0;94,9;69,7
Região Metropolitana de Belém;  1 593;   405;   194;   171;   549;   93;   174;   7;Região Metropolitana de Belém;100,0;25,4;12,2;10,7;34,4;5,8;10,9;0,5;Região Metropolitana de Belém;82,8;62,8;86,3;89,9;94,3;97,9;98,4;80,0
Amapá;   452;   130;   50;   43;   140;   38;   49;   2;Amapá;100,0;28,7;11,0;9,6;31,0;8,3;10,9;0,5;Amapá;72,6;50,5;80,4;80,1;88,5;97,9;98,4;75,0
Tocantins;   994;   363;   102;   92;   255;   65;   115;   1;Tocantins;100,0;36,6;10,2;9,3;25,6;6,6;11,6;0,1;Tocantins;77,0;59,8;87,0;86,7;93,0;98,5;97,8;100,0
Nordeste;  33 690;  13 491;  3 207;  2 888;  9 479;  1 692;  2 823;   110;Nordeste;100,0;40,0;9,5;8,6;28,1;5,0;8,4;0,3;Nordeste;69,6;52,3;79,7;84,1;91,5;96,9;96,8;79,8
Maranhão;  3 094;  1 106;   319;   328;   960;   140;   234;   7;Maranhão;100,0;35,7;10,3;10,6;31,0;4,5;7,6;0,2;Maranhão;54,7;35,2;65,5;71,4;83,1;89,4;95,1;60,0
Piauí;  1 874;   834;   180;   200;   420;   78;   162;   1;Piauí;100,0;44,5;9,6;10,7;22,4;4,2;8,6;-;Piauí;68,4;52,8;82,0;86,6;91,2;98,6;96,0;100,0
Ceará;  5 189;  1 879;   607;   439;  1 544;   306;   397;   18;Ceará;100,0;36,2;11,7;8,5;29,7;5,9;7,7;0,3;Ceará;67,6;48,2;79,7;78,6;90,6;94,8;96,7;81,8
Região Metropolitana de Fortaleza;  2 730;   848;   329;   227;   889;   181;   244;   11;Região Metropolitana de Fortaleza;100,0;31,1;12,1;8,3;32,6;6,6;8,9;0,4;Região Metropolitana de Fortaleza;81,6;63,3;88,1;88,5;95,3;99,2;98,7;91,4
Rio Grande do Norte;  2 250;   902;   184;   188;   635;   116;   215;   9;Rio Grande do Norte;100,0;40,1;8,2;8,4;28,2;5,1;9,6;0,4;Rio Grande do Norte;75,6;59,5;82,6;88,4;94,1;99,4;98,1;81,2
Paraíba;  2 605;  1 104;   229;   200;   629;   159;   279;   5;Paraíba;100,0;42,4;8,8;7,7;24,1;6,1;10,7;0,2;Paraíba;76,4;61,1;84,7;92,5;94,6;98,8;97,3;100,0
Pernambuco;  5 970;  2 328;   587;   468;  1 696;   282;   579;   31;Pernambuco;100,0;39,0;9,8;7,8;28,4;4,7;9,7;0,5;Pernambuco;73,7;56,3;83,5;89,3;93,5;97,9;96,8;83,1
Região Metropolitana de Recife;  2 924;   921;   280;   223;   992;   159;   343;   7;Região Metropolitana de Recife;100,0;31,5;9,6;7,6;33,9;5,4;11,7;0,2;Região Metropolitana de Recife;84,6;69,1;87,7;94,0;95,1;98,1;97,3;80,6
Alagoas;  1 916;   905;   166;   151;   429;   89;   170;   6;Alagoas;100,0;47,3;8,7;7,9;22,4;4,6;8,9;0,3;Alagoas;67,2;53,1;75,2;86,6;90,7;97,2;95,7;76,9
Sergipe;  1 467;   657;   133;   120;   371;   71;   107;   7;Sergipe;100,0;44,8;9,1;8,2;25,3;4,9;7,3;0,5;Sergipe;76,4;62,1;88,3;92,1;94,7;98,0;97,7;90,5
Bahia;  9 326;  3 777;   802;   795;  2 796;   451;   679;   26;Bahia;100,0;40,5;8,6;8,5;30,0;4,8;7,3;0,3;Bahia;71,3;54,3;81,3;85,5;92,5;98,6;97,3;76,1
Região Metropolitana de Salvador;  3 057;   880;   255;   264;  1 108;   203;   344;   3;Região Metropolitana de Salvador;100,0;28,8;8,3;8,6;36,2;6,6;11,3;0,1;Região Metropolitana de Salvador;87,9;73,0;89,0;94,6;96,3;99,2;99,2;90,9
Sudeste;  62 455;  18 432;  6 891;  4 828;  19 359;  3 560;  9 291;   93;Sudeste;100,0;29,5;11,0;7,7;31,0;5,7;14,9;0,1;Sudeste;82,6;65,1;85,7;91,7;93,7;97,8;96,9;92,8
Minas Gerais;  14 674;  5 580;  1 550;  1 118;  3 977;   761;  1 652;   35;Minas Gerais;100,0;38,0;10,6;7,6;27,1;5,2;11,3;0,2;Minas Gerais;79,8;64,3;87,8;91,6;94,4;98,1;97,4;97,9
Região Metropolitana de Belo Horizonte;  4 034;  1 254;   429;   314;  1 179;   260;   591;   8;Região Metropolitana de Belo Horizonte;100,0;31,1;10,6;7,8;29,2;6,4;14,6;0,2;Região Metropolitana de Belo Horizonte;87,2;72,8;91,2;95,8;95,5;98,9;98,3;100,0
Espírito Santo;  2 780;   952;   296;   208;   792;   165;   360;   7;Espírito Santo;100,0;34,2;10,7;7,5;28,5;5,9;13,0;0,3;Espírito Santo;81,1;64,4;86,7;92,5;94,7;97,5;97,2;85,7
Rio de Janeiro;  12 167;  3 296;  1 502;   954;  3 900;   693;  1 806;   17;Rio de Janeiro;100,0;27,1;12,3;7,8;32,1;5,7;14,8;0,1;Rio de Janeiro;83,1;65,6;84,5;92,9;92,5;97,4;96,7;89,8
Região Metropolitana do Rio de Janeiro;  9 074;  2 218;  1 097;   719;  2 995;   543;  1 492;   10;Região Metropolitana do Rio de Janeiro;100,0;24,4;12,1;7,9;33,0;6,0;16,4;0,1;Região Metropolitana do Rio de Janeiro;84,3;66,2;83,1;93,1;92,8;97,4;97,4;83,3
São Paulo;  32 834;  8 605;  3 544;  2 547;  10 691;  1 941;  5 472;   34;São Paulo;100,0;26,2;10,8;7,8;32,6;5,9;16,7;0,1;São Paulo;83,9;65,6;85,3;91,1;93,8;97,9;96,8;91,0
Região Metropolitana de São Paulo;  15 824;  3 728;  1 633;  1 255;  5 186;   985;  3 029;   8;Região Metropolitana de São Paulo;100,0;23,6;10,3;7,9;32,8;6,2;19,1;-;Região Metropolitana de São Paulo;85,1;66,0;84,6;91,1;93,7;98,6;97,5;87,5
Sul;  21 350;  7 175;  2 527;  1 609;  5 605;  1 351;  2 980;   104;Sul;100,0;33,6;11,8;7,5;26,3;6,3;14,0;0,5;Sul;82,8;67,4;87,4;93,5;94,0;97,7;97,4;92,5
Paraná;  7 947;  2 532;   865;   621;  2 219;   452;  1 207;   51;Paraná;100,0;31,9;10,9;7,8;27,9;5,7;15,2;0,6;Paraná;81,5;64,6;85,1;92,9;93,3;97,3;97,3;91,1
