Tabela 1.3.28.1 - Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por classes de rendimento mensal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015;;;;;;;;;;Tabela 1.3.28.2 - Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por classes de rendimento mensal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015;;;;;;;;;;Tabela 1.3.28.3 - Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de pessoas de 10 anos ou mais de idade, por classes de rendimento mensal, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015

Grandes Regiões, Unidades da Federação e Regiões Metropolitanas;Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (1000 pessoas);;;;;;;;;Grandes Regiões, Unidades da Federação e Regiões Metropolitanas;Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (%);;;;;;;;;Grandes Regiões, Unidades da Federação e Regiões Metropolitanas;Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de pessoas de 10 anos ou mais de idade (%)
;Total (1);Classes de rendimento mensal (salário mínimo);;;;;;;;;Total (1);Classes de rendimento mensal (salário mínimo);;;;;;;;;Total (1);Classes de rendimento mensal (salário mínimo)
;;Sem rendi-mento (2);Até 1/2;Mais de 1/2 a 1;Mais de 1 a 2;Mais de 2 a 3;Mais de 3 a 5;Mais de 5 a 10;Mais de 10;;;Sem rendi-mento (2);Até 1/2;Mais de 1/2 a 1;Mais de 1 a 2;Mais de 2 a 3;Mais de 3 a 5;Mais de 5 a 10;Mais de 10;;;Sem rendi-mento (2);Até 1/2;Mais de 1/2 a 1;Mais de 1 a 2;Mais de 2 a 3;Mais de 3 a 5;Mais de 5 a 10;Mais de 10
Brasil;  139 057;  37 854;  8 399;  7 078;  43 403;  18 674;  11 658;  7 051;  3 288;Brasil;100,0;27,2;6,0;5,1;31,2;13,4;8,4;5,1;2,4;Brasil;78,3;72,4;67,9;76,7;75,9;87,0;93,2;95,8;97,3
Norte;  9 971;  3 024;   861;   784;  3 165;   993;   608;   363;   120;Norte;100,0;30,3;8,6;7,9;31,7;10,0;6,1;3,6;1,2;Norte;68,6;60,0;60,2;65,3;71,5;83,2;92,4;94,5;95,9
Rondônia;  1 137;   331;   65;   62;   363;   151;   96;   47;   17;Rondônia;100,0;29,1;5,8;5,5;31,9;13,2;8,4;4,2;1,5;Rondônia;75,9;69,3;67,4;78,5;74,0;85,7;90,1;95,6;96,9
Acre;   450;   136;   47;   33;   143;   40;   26;   19;   5;Acre;100,0;30,1;10,5;7,3;31,8;8,8;5,8;4,3;1,2;Acre;69,2;57,6;66,3;67,3;75,2;83,8;90,2;95,7;100,0
Amazonas;  2 216;   750;   161;   154;   666;   225;   142;   82;   30;Amazonas;100,0;33,9;7,3;6,9;30,0;10,2;6,4;3,7;1,3;Amazonas;68,9;60,8;54,6;61,0;74,1;86,6;95,0;96,6;95,8
Roraima;   315;   85;   26;   20;   98;   35;   23;   19;   7;Roraima;100,0;26,9;8,1;6,4;31,1;11,2;7,4;6,0;2,2;Roraima;74,8;64,5;66,3;72,6;75,7;91,4;94,9;92,0;94,3
Pará;  4 408;  1 311;   445;   421;  1 416;   400;   218;   134;   38;Pará;100,0;29,7;10,1;9,5;32,1;9,1;5,0;3,0;0,9;Pará;64,5;55,9;58,6;63,3;67,7;78,3;90,3;92,3;94,7
Região Metropolitana de Belém;  1 593;   474;   117;   128;   546;   137;   83;   69;   25;Região Metropolitana de Belém;100,0;29,7;7,4;8,0;34,3;8,6;5,2;4,4;1,6;Região Metropolitana de Belém;82,8;76,4;80,8;86,7;82,3;92,5;96,0;96,6;97,7
Amapá;   452;   140;   30;   31;   139;   44;   42;   20;   6;Amapá;100,0;31,0;6,7;6,8;30,8;9,8;9,3;4,4;1,3;Amapá;72,6;62,2;62,8;64,6;78,1;85,7;96,4;93,7;100,0
Tocantins;   994;   271;   86;   64;   340;   98;   61;   42;   17;Tocantins;100,0;27,3;8,7;6,4;34,3;9,9;6,1;4,2;1,7;Tocantins;77,0;69,0;72,2;79,9;76,1;89,0;95,3;97,6;95,8
