Tabela 1.3.29.1 - Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por classes de rendimento mensal domiciliar per capita, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015 ;;;;;;;;;Tabela 1.3.29.2 - Distribuição das pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal, por classes de rendimento mensal domiciliar per capita, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015 ;;;;;;;;;Tabela 1.3.29.3 - Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de pessoas de 10 anos ou mais de idade, por classes de rendimento mensal domiciliar per capita, segundo as Grandes Regiões, as Unidades da Federação e as Regiões Metropolitanas - 2015 

Grandes Regiões, Unidades da Federação e Regiões Metropolitanas;Pessoas de 10 anos ou mais de idade que tinham telefone móvel celular para uso pessoal (1000 pessoas);;;;;;;;Grandes Regiões, Unidades da Federação e Regiões Metropolitanas;Distribuição das pessoas de 10 anos ou mais de idade que que tinham telefone móvel celular para uso pessoal (%);;;;;;;;Grandes Regiões, Unidades da Federação e Regiões Metropolitanas;Percentual de pessoas que tinham telefone móvel celular para uso pessoal, na população de pessoas de 10 anos ou mais de idade (%)
;Total (1);Classes de rendimento mensal domiciliar per capita (salário mínimo);;;;;;;;Total (1);Classes de rendimento mensal domiciliar per capita (salário mínimo);;;;;;;;Total (1);Classes de rendimento mensal domiciliar per capita (salário mínimo)
;;Sem rendimento a 1/4 (2);Mais de 1/4 a 1/2;Mais de 1/2 a 1;Mais de 1 a 2;Mais de 2 a 3;Mais de 3 a 5;Mais de 5;;;Sem rendimento a 1/4 (2);Mais de 1/4 a 1/2;Mais de 1/2 a 1;Mais de 1 a 2;Mais de 2 a 3;Mais de 3 a 5;Mais de 5;;;Sem rendimento a 1/4 (2);Mais de 1/4 a 1/2;Mais de 1/2 a 1;Mais de 1 a 2;Mais de 2 a 3;Mais de 3 a 5;Mais de 5
Brasil;  139 057;  6 787;  16 890;  37 083;  43 573;  14 453;  9 223;  7 229;Brasil;100,0;4,9;12,2;26,7;31,4;10,4;6,6;5,2;Brasil;78,3;53,9;67,8;77,2;81,2;88,7;93,1;95,7
Norte;  9 971;   711;  2 009;  3 176;  2 526;   718;   409;   256;Norte;100,0;7,1;20,2;31,9;25,4;7,2;4,1;2,6;Norte;68,6;42,0;59,8;71,0;78,0;88,3;91,8;95,4
Rondônia;  1 137;   55;   159;   322;   370;   124;   61;   33;Rondônia;100,0;4,9;14,0;28,4;32,6;10,9;5,4;2,9;Rondônia;75,9;56,2;62,9;76,3;78,3;89,5;93,8;96,1
Acre;   450;   43;   94;   136;   107;   31;   22;   13;Acre;100,0;9,6;20,8;30,3;23,9;6,8;5,0;2,9;Acre;69,1;42,7;60,3;74,2;82,3;88,8;94,8;98,7
Amazonas;  2 216;   188;   460;   689;   532;   169;   85;   63;Amazonas;100,0;8,5;20,8;31,2;24,1;7,7;3,8;2,9;Amazonas;68,8;39,4;60,3;73,8;82,0;90,6;92,9;94,2
Roraima;   315;   17;   54;   95;   75;   33;   20;   15;Roraima;100,0;5,3;17,2;30,3;24,0;10,6;6,4;4,9;Roraima;74,8;50,0;63,8;72,4;83,3;94,2;89,0;92,6
Pará;  4 408;   321;   987;  1 508;  1 036;   247;   147;   80;Pará;100,0;7,3;22,4;34,3;23,6;5,6;3,3;1,8;Pará;64,4;39,3;57,6;67,4;73,8;84,2;90,1;95,4
Região Metropolitana de Belém;  1 593;   69;   307;   543;   395;   107;   80;   54;Região Metropolitana de Belém;100,0;4,4;19,3;34,1;24,8;6,8;5,0;3,4;Região Metropolitana de Belém;82,8;70,5;76,7;81,2;86,3;92,8;94,9;95,0
Amapá;   452;   28;   86;   137;   118;   42;   25;   15;Amapá;100,0;6,1;19,1;30,3;26,0;9,2;5,6;3,3;Amapá;72,6;43,2;60,3;73,8;86,8;89,3;89,7;100,0
Tocantins;   994;   59;   170;   289;   287;   72;   48;   35;Tocantins;100,0;5,9;17,1;29,1;28,9;7,3;4,8;3,6;Tocantins;77,0;59,1;68,4;76,1;80,5;92,8;93,5;95,2
Nordeste;  33 690;  3 639;  7 176;  10 801;  7 657;  1 786;  1 253;   841;Nordeste;100,0;10,8;21,3;32,1;22,8;5,3;3,7;2,5;Nordeste;69,6;49,8;65,3;73,0;75,1;87,3;94,8;95,9
Maranhão;  3 094;   418;   693;   997;   616;   125;   106;   84;Maranhão;100,0;13,5;22,5;32,3;20,0;4,0;3,4;2,7;Maranhão;54,7;34,5;50,2;61,9;66,5;84,3;94,6;92,6
Piauí;  1 874;   214;   406;   584;   461;   89;   59;   44;Piauí;100,0;11,4;21,7;31,2;24,6;4,8;3,1;2,3;Piauí;68,4;48,0;63,1;70,8;77,5;86,9;96,3;100,0
Ceará;  5 189;   612;  1 068;  1 662;  1 195;   249;   166;   97;Ceará;100,0;11,8;20,6;32,1;23,1;4,8;3,2;1,9;Ceará;67,6;50,4;63,5;70,8;71,8;84,9;96,2;94,7
Região Metropolitana de Fortaleza;  2 730;   156;   507;   912;   703;   181;   107;   76;Região Metropolitana de Fortaleza;100,0;5,7;18,6;33,5;25,8;6,7;3,9;2,8;Região Metropolitana de Fortaleza;81,6;66,8;75,6;82,1;84,1;91,9;96,8;97,7
Rio Grande do Norte;  2 250;   199;   434;   721;   535;   150;   116;   70;Rio Grande do Norte;100,0;8,8;19,3;32,1;23,8;6,7;5,2;3,1;Rio Grande do Norte;75,6;55,9;69,6;78,1;78,0;93,8;95,3;97,1
Paraíba;  2 605;   272;   544;   822;   586;   153;   108;   93;Paraíba;100,0;10,4;20,9;31,6;22,5;5,9;4,1;3,6;Paraíba;76,3;61,1;73,8;77,6;78,6;89,7;94,9;99,3
Pernambuco;  5 970;   585;  1 343;  1 973;  1 278;   303;   229;   170;Pernambuco;100,0;9,8;22,6;33,1;21,5;5,1;3,8;2,9;Pernambuco;73,7;54,4;71,5;76,6;76,2;87,4;94,0;96,2
Região Metropolitana de Recife;  2 924;   214;   554;   986;   711;   169;   143;   124;Região Metropolitana de Recife;100,0;7,3;19,0;33,8;24,4;5,8;4,9;4,2;Região Metropolitana de Recife;84,6;75,3;81,0;85,0;85,4;91,0;93,5;95,9
Alagoas;  1 916;   260;   447;   587;   387;   112;   57;   26;Alagoas;100,0;13,6;23,4;30,7;20,2;5,9;3,0;1,3;Alagoas;67,2;53,4;63,4;69,6;72,0;89,0;94,7;95,4
Sergipe;  1 467;   154;   298;   494;   335;   86;   52;   27;Sergipe;100,0;10,5;20,4;33,7;22,8;5,9;3,6;1,9;Sergipe;76,4;56,8;71,7;80,8;81,9;88,3;91,0;93,7
Bahia;  9 326;   926;  1 942;  2 960;  2 265;   519;   362;   230;Bahia;100,0;10,0;20,9;31,8;24,4;5,6;3,9;2,5;Bahia;71,2;51,3;66,4;74,1;76,5;86,2;94,9;95,3
Região Metropolitana de Salvador;  3 057;   152;   440;  1 002;   857;   229;   193;   140;Região Metropolitana de Salvador;100,0;5,0;14,5;32,9;28,2;7,5;6,3;4,6;Região Metropolitana de Salvador;87,9;74,4;82,6;87,3;89,5;94,6;96,1;98,1
Sudeste;  62 455;  1 715;  5 386;  15 515;  21 427;  7 374;  4 653;  4 013;Sudeste;100,0;2,8;8,6;24,9;34,4;11,8;7,5;6,4;Sudeste;82,6;68,8;73,1;79,7;82,6;88,5;92,4;95,5
Minas Gerais;  14 674;   543;  1 676;  4 134;  5 096;  1 449;   897;   718;Minas Gerais;100,0;3,7;11,4;28,2;34,8;9,9;6,1;4,9;Minas Gerais;79,8;62,5;69,7;77,7;81,5;90,0;92,1;95,3
Região Metropolitana de Belo Horizonte;  4 034;   110;   331;  1 009;  1 423;   457;   299;   323;Região Metropolitana de Belo Horizonte;100,0;2,7;8,2;25,1;35,4;11,4;7,4;8,0;Região Metropolitana de Belo Horizonte;87,2;78,5;81,3;83,1;87,8;92,7;92,8;96,0
Espírito Santo;  2 780;   104;   329;   747;   906;   285;   186;   142;Espírito Santo;100,0;3,8;11,8;26,9;32,6;10,3;6,7;5,1;Espírito Santo;81,1;61,3;72,8;78,8;82,5;88,6;94,2;94,0
Rio de Janeiro;  12 167;   286;  1 219;  3 293;  3 976;  1 255;   857;   932;Rio de Janeiro;100,0;2,4;10,0;27,1;32,7;10,3;7,1;7,7;Rio de Janeiro;83,1;71,1;75,7;81,5;81,6;87,7;91,8;95,4
Região Metropolitana do Rio de Janeiro;  9 074;   197;   842;  2 370;  2 959;   964;   706;   785;Região Metropolitana do Rio de Janeiro;100,0;2,2;9,3;26,2;32,6;10,6;7,8;8,7;Região Metropolitana do Rio de Janeiro;84,2;72,3;77,7;82,0;82,7;89,1;92,3;95,4
São Paulo;  32 834;   783;  2 162;  7 340;  11 450;  4 384;  2 712;  2 221;São Paulo;100,0;2,4;6,6;22,4;34,9;13,4;8,3;6,8;São Paulo;83,9;74,3;74,4;80,1;83,4;88,2;92,5;95,7
Região Metropolitana de São Paulo;  15 824;   444;  1 002;  3 516;  5 137;  2 084;  1 312;  1 360;Região Metropolitana de São Paulo;100,0;2,8;6,3;22,3;32,5;13,2;8,3;8,6;Região Metropolitana de São Paulo;85,1;75,5;76,1;80,6;84,8;89,2;93,1;96,5
Sul;  21 350;   445;  1 317;  4 592;  7 947;  3 205;  1 993;  1 304;Sul;100,0;2,1;6,2;21,6;37,3;15,0;9,4;6,1;Sul;82,8;63,7;69,9;79,9;82,1;88,5;92,9;95,0
Paraná;  7 947;   175;   526;  1 863;  2 907;  1 123;   692;   491;Paraná;100,0;2,2;6,6;23,5;36,7;14,2;8,7;6,2;Paraná;81,5;57,2;68,5;76,6;82,0;90,2;93,0;95,8
Região Metropolitana de Curitiba;  2 554;   37;   114;   516;   924;   414;   247;   255;Região Metropolitana de Curitiba;100,0;1,5;4,5;20,2;36,3;16,2;9,7;10,0;Região Metropolitana de Curitiba;84,3;62,6;64,1;78,8;83,4;91,7;94,8;95,7
Santa Catarina;  4 902;   44;   202;   891;  1 877;   848;   585;   288;Santa Catarina;100,0;0,9;4,1;18,2;38,4;17,3;12,0;5,9;Santa Catarina;81,0;59,6;61,0;77,4;78,6;87,9;91,9;94,4
Rio Grande do Sul;  8 501;   226;   589;  1 838;  3 164;  1 234;   716;   525;Rio Grande do Sul;100,0;2,7;6,9;21,7;37,3;14,5;8,4;6,2;Rio Grande do Sul;85,2;71,0;75,1;85,0;84,4;87,5;93,7;94,6
Região Metropolitana de Porto Alegre;  3 311;   76;   193;   710;  1 167;   461;   295;   272;Região Metropolitana de Porto Alegre;100,0;2,3;5,8;21,5;35,3;13,9;8,9;8,2;Região Metropolitana de Porto Alegre;88,9;77,8;78,8;86,5;88,4;92,9;95,3;96,0
Centro-Oeste;  11 590;   276;  1 002;  3 000;  4 016;  1 369;   915;   815;Centro-Oeste;100,0;2,4;8,7;25,9;34,7;11,8;7,9;7,0;Centro-Oeste;86,9;71,4;76,3;84,4;87,6;92,7;95,3;97,4
Mato Grosso do Sul;  1 980;   38;   150;   524;   740;   230;   174;   113;Mato Grosso do Sul;100,0;1,9;7,6;26,5;37,5;11,6;8,8;5,7;Mato Grosso do Sul;86,7;70,2;73,5;82,9;87,8;93,2;97,8;99,2
Mato Grosso;  2 304;   51;   227;   599;   837;   283;   154;   98;Mato Grosso;100,0;2,2;9,9;26,0;36,3;12,3;6,7;4,2;Mato Grosso;83,3;64,6;70,6;80,6;84,4;92,3;95,7;98,7
Goiás;  4 984;   143;   478;  1 432;  1 784;   576;   298;   184;Goiás;100,0;2,9;9,6;28,8;35,9;11,6;6,0;3,7;Goiás;87,0;74,2;78,8;86,0;87,8;92,4;94,0;96,2
Distrito Federal;  2 321;   45;   147;   445;   655;   280;   289;   421;Distrito Federal;100,0;1,9;6,3;19,2;28,3;12,1;12,5;18,2;Distrito Federal;90,7;72,3;81,2;86,3;90,9;93,3;95,1;97,2

Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;;;;;;;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;;;;;;;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.
Nota: Exclusive as pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.;;;;;;;;;Nota: Exclusive as pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.;;;;;;;;;Nota: Exclusive as pessoas cuja condição na unidade domiciliar era pensionista, empregado doméstico ou parente do empregado doméstico.
(1) Inclusive as pessoas sem declaração  de  rendimento mensal domiciliar per capita. (2) Inclusive as pessoas moradoras em unidades domiciliares cujos componentes recebiam somente em benefícios.;;;;;;;;;(1) Inclusive as pessoas sem declaração  de  rendimento mensal domiciliar per capita. (2) Inclusive as pessoas moradoras em unidades domiciliares cujos componentes recebiam somente em benefícios.;;;;;;;;;(1) Inclusive as pessoas sem declaração  de  rendimento mensal domiciliar per capita. (2) Inclusive as pessoas moradoras em unidades domiciliares cujos componentes recebiam somente em benefícios.
