arquivo_origem;aba_origem;linha_origem;coluna_01;coluna_02;coluna_03;coluna_04;coluna_05;coluna_06;coluna_07;coluna_08;coluna_09;coluna_10;coluna_11;coluna_12;coluna_13;coluna_14;coluna_15;coluna_16;coluna_17;coluna_18;coluna_19;coluna_20;coluna_21;coluna_22;coluna_23;coluna_24;coluna_25;coluna_26;coluna_27;coluna_28;coluna_29;coluna_30
01_Pesquisa_Suplementar.csv;01_Pesquisa_Suplementar;1;PESQUISA NACIONAL POR AMOSTRA DE DOMICÍLIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01_Pesquisa_Suplementar.csv;01_Pesquisa_Suplementar;2;PNAD 2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01_Pesquisa_Suplementar.csv;01_Pesquisa_Suplementar;11;PESQUISA SUPLEMENTAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01_Pesquisa_Suplementar.csv;01_Pesquisa_Suplementar;12;ACESSO À INTERNET;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01_Pesquisa_Suplementar.csv;01_Pesquisa_Suplementar;13;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01_Pesquisa_Suplementar.csv;01_Pesquisa_Suplementar;14;POSSE DE TELEFONE MÓVEL CELULAR PARA USO PESSOAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01_Pesquisa_Suplementar.csv;01_Pesquisa_Suplementar;17;PESSOAS DE 10 ANOS OU MAIS DE IDADE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02_Telefone_celular_uso_pessoal.csv;02_Telefone_celular_uso_pessoal;1;PESQUISA NACIONAL POR AMOSTRA DE DOMICÍLIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02_Telefone_celular_uso_pessoal.csv;02_Telefone_celular_uso_pessoal;2;PNAD 2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02_Telefone_celular_uso_pessoal.csv;02_Telefone_celular_uso_pessoal;12;PESSOAS DE 10 ANOS OU MAIS DE IDADE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
